credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,debt_consolidation,0.1014,452.67,11.22524339,16.54,722,4800,14214,39.4,0,0,0,1
1,debt_consolidation,0.1615,880.78,11.6351431,24.84,682,7619,51039,93.8,0,1,0,1
1,credit_card,0.133,101.52,10.47005058,24.79,697,5569,21573,73.7,1,0,0,1
1,small_business,0.1078,365.51,11.28978191,7.56,697,4980.041667,18316,81,1,1,0,1
1,credit_card,0.1236,767.89,11.46163217,16.07,702,2580,806,10.3,2,0,0,1
1,debt_consolidation,0.1109,491.73,10.37349118,4.8,697,3480.041667,4134,39.4,1,0,0,1
1,debt_consolidation,0.1078,278.22,11.60823564,18.58,702,7230,14046,80.3,0,0,0,1
1,all_other,0.0838,567.22,11.06663836,5.25,772,3540.041667,1612,12.1,4,0,0,1
1,debt_consolidation,0.1393,527.52,10.6454249,19.71,667,2490,12032,87.2,3,0,1,1
1,all_other,0.0951,640.76,11.28978191,0.22,767,8476,464,18.6,8,0,0,1
1,all_other,0.0945,333.7,11.00209984,6.02,787,10860,426,0.7,0,0,0,1
1,debt_consolidation,0.1292,347.5,11.15625052,9.05,702,4530.041667,16264,90.6,3,0,0,1
1,debt_consolidation,0.1355,343,10.2797298,15.82,667,3539.041667,18485,65.3,1,0,1,1
1,debt_consolidation,0.1197,199.2,10.98189713,6,672,4410,3831,34.2,0,1,0,1
1,small_business,0.0976,644.71,10.16585182,9.14,762,6752.041667,507,3.5,0,0,0,1
1,all_other,0.1418,856.63,11.09741002,22.45,707,2092.041667,25160,32.8,2,0,0,1
1,debt_consolidation,0.1103,327.53,10.30895266,13.4,707,3359,10837,83.4,1,0,0,1
1,debt_consolidation,0.1324,608.58,11.00209984,22.4,687,3151.041667,5855,54.7,0,0,1,1
1,home_improvement,0.1166,495.79,10.49127422,5.17,692,4440,1340,53.6,2,1,0,1
1,home_improvement,0.1166,330.53,11.43388226,10.74,677,5519,46789,66.7,3,0,0,1
1,small_business,0.1261,820.91,11.69524702,5.76,697,2141.041667,23908,62.8,3,0,0,1
1,credit_card,0.1071,815.04,10.858999,11.86,727,1694.041667,6088,8.3,0,0,0,1
1,debt_consolidation,0.1387,341.15,10.96819829,24.72,702,6839.041667,24299,58.6,0,0,0,1
1,debt_consolidation,0.1703,535.02,11.58058411,15.81,662,6660,44543,86.8,0,0,0,1
1,debt_consolidation,0.1292,504.84,10.71441777,6.08,677,3240,5071,78,1,1,0,1
1,debt_consolidation,0.1103,671.44,10.55581274,15.72,722,3580.041667,31566,32.3,1,0,0,1
1,small_business,0.1355,339.6,11.17885035,3.35,662,5460,5261,73.1,2,1,0,1
1,debt_consolidation,0.1387,341.15,10.4744671,13.19,662,4050,11969,88,2,0,0,1
1,debt_consolidation,0.1071,508.59,10.77895629,14.58,717,5219,20838,62.6,1,0,0,1
1,debt_consolidation,0.1197,481.4,11.08214255,8.6,687,3270,15506,95.7,1,0,0,1
1,home_improvement,0.0976,482.32,10.16585182,5.77,777,4560.041667,3050,2.9,1,0,0,1
1,debt_consolidation,0.1039,162.26,11.15051985,15.72,707,2970,5762,43.3,1,0,0,1
1,debt_consolidation,0.0976,482.32,10.91508846,15.1,762,7920.041667,11648,14.8,1,0,0,1
1,debt_consolidation,0.145,663.47,10.42228135,9.86,667,2940,8731,56.7,1,0,0,1
1,debt_consolidation,0.1103,360.29,9.92329018,6.82,697,1530,3041,84.5,2,0,0,1
1,major_purchase,0.0976,321.55,10.08580911,2.7,717,5168,3717,16.1,3,1,0,1
1,all_other,0.0945,224.07,11.44035477,10.86,717,4080,5257,32.9,1,0,0,1
1,debt_consolidation,0.1229,490.29,10.52406404,21.94,702,1950.041667,14694,43.1,2,0,0,1
1,debt_consolidation,0.1197,351.92,10.57254694,14.9,682,2579,7583,80.7,0,0,0,1
1,major_purchase,0.1608,879.92,10.71441777,6.4,667,5160,12704,54.1,0,3,0,1
1,debt_consolidation,0.1292,807.74,11.29849385,15.08,697,4440,21364,86.5,0,0,0,1
1,all_other,0.0976,482.32,11.08214255,11.35,737,3990,3834,33.3,2,0,0,1
1,debt_consolidation,0.1071,684.64,11.08214255,2.9,722,1380.041667,5694,17.7,1,0,0,1
1,debt_consolidation,0.1261,301.56,10.42228135,14.68,687,4650.041667,14371,60.9,0,1,0,1
1,debt_consolidation,0.1103,491.3,11.91582729,9.52,702,3780.041667,25870,56.1,0,1,0,1
1,credit_card,0.164,636.39,11.91839057,24.03,672,4290.041667,28846,57.9,1,0,0,1
1,debt_consolidation,0.1103,491.3,11.11542853,15.5,707,2370.041667,12569,46.2,0,0,0,1
1,all_other,0.1229,667.06,11.08214255,13.5,692,2370.041667,6045,34.9,1,0,1,1
1,all_other,0.1071,782.44,11.15625052,0.57,727,5040.041667,782,3,1,0,0,1
1,debt_consolidation,0.0945,230.47,10.71441777,0.8,717,2730.041667,3332,30.6,0,0,0,1
1,debt_consolidation,0.1292,377.79,10.35316092,23.31,712,3780,8837,52.6,1,0,0,1
1,educational,0.1134,329,10.14124382,8.79,692,3839.041667,1573,39.3,0,0,0,1
1,debt_consolidation,0.1229,640.38,10.87804719,18.93,702,3689,20033,82.8,1,0,0,1
1,all_other,0.1134,658,10.91508846,5.19,712,8400,5482,17.4,0,2,0,1
1,debt_consolidation,0.1166,314,10.59663473,18.78,697,2309.958333,21160,78.7,0,0,0,1
1,credit_card,0.1103,294.78,11.12726298,12.72,687,9119.958333,36164,39.4,1,0,0,1
1,debt_consolidation,0.1051,97.53,10.59663473,16.08,727,3464.041667,14582,26.7,2,0,0,1
1,debt_consolidation,0.1103,537.15,10.818177,4.42,712,1859.958333,3964,24,0,0,0,1
1,all_other,0.1134,98.7,10.53049493,7.72,677,1680,0,53,1,0,0,1
1,debt_consolidation,0.0832,314.85,10.59533389,14.54,772,5790,4743,28.1,0,0,0,1
1,debt_consolidation,0.1355,848.99,11.03488966,14.26,697,2730,7019,13.4,2,0,0,1
1,debt_consolidation,0.1292,168.28,10.64780302,21.04,677,2910.958333,13073,55.9,3,0,0,1
1,debt_consolidation,0.1008,151.03,10.46310334,18.72,722,3900,9910,99.1,2,0,0,1
1,educational,0.0832,251.88,10.62254611,17.6,797,6989.958333,7017,8.4,0,0,0,1
1,credit_card,0.1261,837.67,11.60739893,24.04,757,7260,8220,63.2,0,0,0,1
1,all_other,0.0976,385.86,11.45952469,8.65,727,4650,19073,28.6,3,1,0,1
1,debt_consolidation,0.0976,321.55,10.49824983,8.11,717,4139.958333,6179,11.2,2,0,0,1
1,educational,0.1324,338.1,11.53272809,7.31,667,3823,27452,96.3,2,0,0,1
1,credit_card,0.1229,266.83,11.47210347,5.36,687,4062.958333,45251,66.7,3,1,0,1
1,debt_consolidation,0.1134,263.2,10.71441777,8.75,682,2490,0,66.7,1,1,0,1
1,credit_card,0.1324,446.29,11.22524339,21.06,682,5159.958333,13438,71.9,1,0,1,1
1,debt_consolidation,0.1166,370.19,11.28978191,17.78,692,1980,24259,56.5,0,0,0,1
1,credit_card,0.1134,296.1,9.825526011,11.68,682,4230,9237,64.6,1,0,1,1
1,all_other,0.1103,235.83,10.34174248,14.4,692,3930,19076,66.6,0,0,0,1
1,all_other,0.1324,265.41,12.20607265,15.62,707,4680,36293,62.3,3,0,0,1
1,debt_consolidation,0.1071,339.06,10.87066149,15.6,717,3749.958333,19859,63.4,0,0,0,1
1,credit_card,0.1197,109.56,9.798127037,17.4,672,1169.958333,8562,32.9,3,0,0,1
1,credit_card,0.1166,240.46,10.91348718,16.91,712,4859.958333,17581,98.2,0,0,0,1
1,major_purchase,0.1355,155.37,11.06663836,13.5,697,7582,8399,41,2,0,0,1
1,debt_consolidation,0.0976,144.7,10.90227951,4.24,707,1499.958333,3818,61.6,0,0,0,1
1,educational,0.1608,492.76,11.57025053,20.39,677,6269.958333,33627,74.7,1,0,0,1
1,debt_consolidation,0.1197,239.04,11.06663836,22.28,697,5579.958333,30970,71,1,0,0,1
1,debt_consolidation,0.1166,170.22,10.47107151,17.69,702,3930,12110,30.2,2,1,0,1
1,debt_consolidation,0.1324,83.68,10.81977828,17.77,677,4859.958333,17807,81.3,3,0,1,1
1,credit_card,0.1008,129.22,9.61580548,8.08,707,1290,3946,35.9,0,0,0,1
1,all_other,0.1071,163.01,10.81977828,9.58,702,5129.958333,854,71.2,1,0,0,1
1,major_purchase,0.1134,220.43,10.23995979,23.14,752,2400,95,0.8,1,0,0,1
1,debt_consolidation,0.1608,387.17,11.31447453,19.96,662,6599.958333,19608,31.1,1,0,0,1
1,home_improvement,0.1039,178.48,10.4341158,18.46,717,5670,175,1,0,0,0,1
1,debt_consolidation,0.1292,252.42,10.98529272,18.81,672,3889,12195,58.9,3,0,1,1
1,credit_card,0.1103,147.39,11.28978191,11.03,697,10649.95833,43712,82.5,0,0,0,1
1,all_other,0.1071,163.01,12.20607265,12.48,702,7319.958333,53087,69.9,1,0,0,1
1,credit_card,0.1387,118.55,10.66881585,24.51,687,4109.958333,21043,81.6,3,0,0,1
1,credit_card,0.1166,122.3,11.0090258,19.58,697,5519.958333,15948,88.8,0,0,1,1
1,debt_consolidation,0.1197,136.95,11.15625052,6.6,677,2400,16952,40.4,2,0,0,1
1,credit_card,0.1166,101.64,11.51292546,20.53,702,7079.958333,91557,87.8,0,0,0,1
1,all_other,0.08,70.51,11.08214255,12.55,802,6299.958333,116416,1.4,0,0,0,1
1,debt_consolidation,0.1008,171.22,11.30220443,14.79,712,6900,66235,97.4,0,0,0,1
1,debt_consolidation,0.1008,193.83,10.77895629,9.3,707,6329.958333,4201,36.2,0,0,0,1
1,home_improvement,0.1071,116.56,10.75790288,13.3,702,6060,10083,53.9,1,0,1,1
1,all_other,0.1292,195.21,10.81977828,18.01,672,2249.958333,7423,53.4,0,0,0,1
1,debt_consolidation,0.1197,153.55,10.59663473,23.85,732,2353.958333,12811,47.6,0,0,0,1
1,all_other,0.1008,188.99,11.28978191,17.61,722,3870,2930,10.7,2,0,1,1
1,credit_card,0.1355,254.7,10.91508846,21.51,672,3870,17590,86.2,1,0,0,1
1,home_improvement,0.0832,149.55,10.6454249,5.49,747,13259.95833,398,1.2,3,2,0,1
1,all_other,0.1039,134.67,11.2515607,5.91,697,6900,17243,43,1,0,0,1
1,all_other,0.1292,252.42,10.81977828,17.54,667,5939.958333,23401,35.8,1,3,0,1
1,all_other,0.1229,168.44,11.03488966,8.25,667,1919.958333,29863,82.7,0,0,0,1
1,debt_consolidation,0.1261,251.3,11.28983191,18.18,677,4320,12749,61.9,1,0,0,1
1,debt_consolidation,0.1008,242.29,10.81977828,2.93,707,1740,8453,77.6,3,0,0,1
1,debt_consolidation,0.1103,245.65,11.00209984,16.12,692,4469.958333,16382,52.3,1,1,0,1
1,debt_consolidation,0.1324,253.58,11.77525896,16.78,662,4260,89952,79.5,3,0,0,1
1,debt_consolidation,0.1039,243.38,10.6454249,3.26,702,1443,3608,65.6,1,0,0,1
1,all_other,0.1229,166.77,10.6454249,21.66,682,2910,489,27.2,1,0,0,1
1,debt_consolidation,0.1197,249,11.13959835,21.63,692,5130,30245,40.8,2,0,0,1
1,all_other,0.1128,368.17,11.51292546,19.6,717,11102.95833,52132,55.7,1,0,0,1
1,home_improvement,0.1229,70.05,10.95156065,19.92,667,9209.958333,26036,89.5,1,1,0,1
1,major_purchase,0.1229,100.06,10.6454249,1.71,672,2610,1487,45.1,0,0,0,1
1,debt_consolidation,0.1261,201.04,10.30895266,19.92,672,1800,3211,78.3,2,0,0,1
1,educational,0.0945,240.08,10.71441777,1.57,722,7560,2258,10.7,2,0,1,1
1,debt_consolidation,0.0976,241.16,10.02552818,6.74,717,1679.958333,7313,29.6,0,0,0,1
1,debt_consolidation,0.1039,48.68,10.46310334,13.17,697,4229.958333,19,0.2,1,0,0,1
1,educational,0.1008,96.92,10.49127422,6.9,697,2339.958333,8349,43.5,0,0,0,1
1,debt_consolidation,0.1324,253.58,10.05173513,16.76,667,2820,4013,66.9,0,0,0,1
1,credit_card,0.0976,192.93,11.01856357,12.37,712,3149.958333,6432,99,2,0,0,1
1,home_improvement,0.1128,164.36,11.32664408,13.53,687,8189.958333,16389,57.7,3,0,1,1
1,major_purchase,0.08,219.36,10.0203813,10.04,757,5130,0,0,6,0,0,1
1,debt_consolidation,0.0976,241.16,11.26446411,13.91,727,4788,49150,42,3,0,0,1
1,all_other,0.0863,237.21,10.6454249,19.2,787,6449.958333,8671,13.9,1,0,0,1
1,debt_consolidation,0.1349,407.17,10.91508846,14.53,667,9030,2569,98.8,0,0,0,1
1,major_purchase,0.1222,376.52,10.95080655,22.76,712,4650,8939,74.5,0,0,0,1
1,all_other,0.1033,325.85,10.81977828,16.15,727,5669.958333,1417,7.6,1,0,0,1
1,all_other,0.1096,472.81,10.71441777,1.33,712,3240,1661,15.8,2,0,1,1
1,all_other,0.1001,216.23,10.59663473,5.13,717,6300,4225,28.9,3,0,1,1
1,credit_card,0.1128,73.14,10.08580911,12.45,717,6119.958333,3623,90.6,0,1,0,1
1,home_improvement,0.1159,206.37,10.54534144,8.53,682,4290.958333,6288,22.3,3,0,1,1
1,credit_card,0.1633,264.91,10.81977828,10.8,667,5249.958333,0,86.3,0,0,0,1
1,debt_consolidation,0.1191,201.52,10.79949394,14.33,682,4533.958333,16979,41,0,1,0,1
1,all_other,0.1096,113.71,11.22524339,9.92,687,6240,22796,51.9,1,0,0,1
1,debt_consolidation,0.1146,263.66,11.28978191,21.72,697,7577,73150,72.9,0,0,0,1
1,credit_card,0.1538,243.97,11.28978191,9.24,667,6540,33102,99.4,2,0,1,1
1,credit_card,0.1128,218.6,11.1844214,16.86,697,2208,21659,49.9,1,0,0,1
1,all_other,0.1128,139.71,10.91508846,4.65,682,3209.958333,2801,63.7,0,0,0,1
1,debt_consolidation,0.1128,167.65,11.05879518,14.68,687,4770,17550,38.6,2,0,0,1
1,all_other,0.1128,172.58,10.7711761,5.24,712,5699.958333,13673,58.4,0,0,0,1
1,credit_card,0.1349,254.48,11.89067673,9.58,662,7710,15030,52.2,1,0,0,1
1,all_other,0.1128,32.88,10.46310334,15.69,697,4320.958333,199,2.3,1,0,0,1
1,all_other,0.1304,219.14,11.05089001,6.76,667,6167.958333,20227,41,3,1,0,1
1,debt_consolidation,0.1083,163.3,10.76840078,21.53,742,3604.958333,17194,54.8,1,0,0,1
1,home_improvement,0.102,242.71,11.27663335,11.99,732,4686.958333,42703,40.4,3,0,0,1
1,all_other,0.0907,210.1,10.37361617,1.84,742,2680,4889,10.7,1,0,0,1
1,small_business,0.0938,335.76,10.91508846,6.41,737,2459.958333,1932,11.4,2,0,0,1
1,educational,0.08,297.7,10.91508846,3.53,787,14159.95833,7171,10.7,2,0,0,1
1,credit_card,0.1146,197.75,10.34817337,13.73,692,2069.958333,14154,85.8,0,0,0,1
1,credit_card,0.1462,861.99,11.98292909,9.04,682,5369.958333,9925,45.1,1,2,0,1
1,credit_card,0.1209,598.64,11.1124479,19.22,702,5220,22897,64.5,1,0,1,1
1,credit_card,0.1178,165.55,10.75790288,22.49,692,8160,0,0,3,0,1,1
1,home_improvement,0.1178,215.22,11.42081018,2.14,732,4410,4541,96.6,2,0,0,1
1,all_other,0.1241,200.47,10.77895629,17.53,707,6509.958333,1966,93.6,1,0,0,1
1,debt_consolidation,0.1367,489.86,11.69524702,13.01,672,4200,14827,43.5,3,0,0,1
1,small_business,0.1241,501.16,12.76568843,5.86,692,2429.958333,36073,72.9,2,0,0,1
1,small_business,0.1462,517.2,11.58988651,11.56,667,4649.958333,13706,45.7,1,1,0,1
1,small_business,0.102,485.42,11.51292546,7.93,747,3599.958333,86429,37.8,0,0,0,1
1,debt_consolidation,0.1146,329.57,11.45100751,7.85,727,6600,17465,95.4,1,0,0,1
1,small_business,0.1493,346.32,11.00209984,20.58,682,6720,56189,89.2,0,0,0,1
1,debt_consolidation,0.1083,653.17,11.08220409,8.2,742,4171,12418,66.2,1,0,0,1
1,major_purchase,0.1051,260.06,10.43399815,11.19,757,2520,10,0.1,3,0,0,1
1,credit_card,0.0907,95.5,11.06929109,3.03,727,6509.958333,4483,72.3,0,0,0,1
1,debt_consolidation,0.1083,440.89,11.26446411,11.52,717,4319.958333,12266,41.2,1,0,0,1
1,small_business,0.1146,823.93,11.36210258,13.86,757,4530,46055,20.2,0,0,0,1
1,educational,0.1241,185.43,9.998797732,11.73,677,3539.958333,1212,22.9,3,0,0,1
1,debt_consolidation,0.1525,556.61,10.97164063,11.48,662,4920,16052,88.2,3,0,0,1
1,educational,0.1114,275.57,11.3736634,11.88,702,4110.041667,24216,73.8,3,0,0,1
1,home_improvement,0.1399,512.6,11.06663836,5.38,702,3600,12945,76.6,2,0,1,1
1,all_other,0.1367,136.08,9.61580548,14,662,3000.041667,5617,87.8,0,0,0,1
1,debt_consolidation,0.1557,244.62,10.78931908,2.72,672,3010.041667,3273,69.6,1,0,0,1
1,credit_card,0.1083,78.38,10.59663473,15.75,697,5160.041667,13620,29.9,2,0,0,1
1,credit_card,0.1241,167.06,11.38509209,23.88,677,3750.041667,40726,83,1,0,1,1
1,credit_card,0.1114,475.68,10.49127422,21.8,712,10368.04167,23772,84,0,0,0,1
1,debt_consolidation,0.1336,711.22,11.35040654,10.74,687,6630.041667,29381,88.2,2,0,1,1
1,debt_consolidation,0.1178,662.19,10.858999,15.42,727,3755.041667,25971,66.6,0,0,0,1
1,small_business,0.0938,425.3,11.40756495,8.93,772,5648.041667,126302,27.6,1,0,0,1
1,all_other,0.1904,458.46,11.71993963,5.84,662,6210,13363,99,1,1,0,1
1,debt_consolidation,0.1209,399.09,10.1266311,11.04,692,8435.041667,9931,29.6,0,1,0,1
1,debt_consolidation,0.1872,876.36,11.00209984,19.8,667,3271,23555,60.3,1,0,1,1
1,small_business,0.1336,846.7,11.75978554,16.62,712,7890.041667,46663,47.4,1,0,0,1
1,debt_consolidation,0.1493,83.12,10.63969422,21.55,672,5460,4332,98.5,0,0,1,1
1,small_business,0.1146,121.95,11.23848862,22.97,697,4290,47039,89.5,0,0,0,1
1,educational,0.1114,82.02,11.14919713,20.15,692,5250.041667,51489,77.9,2,0,0,1
1,debt_consolidation,0.1209,359.18,10.57867441,5.53,697,1650.041667,14922,43.8,1,0,0,1
1,debt_consolidation,0.143,293.47,11.27720313,18.14,692,4440.041667,7987,42.5,3,0,0,1
1,credit_card,0.1241,160.38,11.05089001,13.81,672,2880,5034,45.4,3,1,1,1
1,small_business,0.1178,297.99,11.40756495,13.63,687,8100.041667,51664,18,2,0,0,1
1,educational,0.1126,197.18,10.5454467,2.34,712,2640.041667,647,17.5,1,0,0,1
1,credit_card,0.102,388.34,11.22524339,6.88,767,2760.041667,0,0,0,0,0,1
1,debt_consolidation,0.1146,230.7,10.81985828,8.74,692,1890.041667,20248,27.7,0,0,0,1
1,debt_consolidation,0.1715,571.64,11.05366789,19.13,667,4290,55188,98.3,3,0,0,1
1,all_other,0.1221,199.89,9.798127037,6.27,687,3575,3289,32.6,1,0,0,1
1,credit_card,0.1746,897.06,11.6351431,3.94,662,4530.041667,31852,80.6,3,1,0,1
1,small_business,0.1083,458.85,12.10071213,6.24,747,3600,60936,24.7,2,0,0,1
1,debt_consolidation,0.1178,827.74,11.77528973,10.2,717,8460.041667,29601,55.1,2,0,0,1
1,all_other,0.1051,130.03,11.77581267,5.07,712,4470.041667,11840,56.1,0,0,0,1
1,all_other,0.1189,59.7,10.10435114,22.28,687,6751.041667,2842,47.4,0,0,0,1
1,debt_consolidation,0.1379,340.76,10.59663473,21.63,682,7380.041667,15615,87.7,3,0,1,1
1,debt_consolidation,0.1442,84.24,9.680344001,21.6,702,7170.041667,14052,98.3,2,0,0,1
1,small_business,0.1568,350.02,11.05089001,7.03,667,2250.041667,31590,80.8,0,0,0,1
1,small_business,0.1126,200.47,12.00701176,15.02,762,7470.041667,141165,59.5,1,0,0,1
1,debt_consolidation,0.1442,240.68,10.71441777,15.25,677,3870.041667,23951,97.4,0,0,0,1
1,debt_consolidation,0.1284,645.47,11.53272809,20.21,727,9210.041667,8776,25.2,2,0,0,1
1,debt_consolidation,0.1411,513.44,11.20775808,15.99,707,3360.041667,40868,66.6,0,0,0,1
1,debt_consolidation,0.0788,350.34,10.1266311,19.15,737,6030.041667,10485,36.2,0,0,0,1
1,small_business,0.1221,333.15,11.09741002,10.76,792,5850,0,0,7,0,0,1
1,debt_consolidation,0.1474,345.37,10.83958091,18.71,672,4740,18540,62.4,2,0,0,1
1,small_business,0.1316,253.28,10.49127422,21.5,702,1560.041667,1478,12.2,0,0,0,1
1,debt_consolidation,0.1411,342.29,11.00209984,21.32,682,3090.041667,7168,23.3,1,0,0,1
1,small_business,0.1126,326.99,12.10071213,10.07,717,3630,61676,28.5,2,0,0,1
