,Age,Annual_Income_Lacs,Twitter User,Number of Vehicles,Gender,Married,Daily hours of work,Affluent_Lifestyle,No of Dependents,Urban_residence,Social,Outstation_Travel_last_year,labels
57,15,16.4,1,1,0,1,9,1,1,1,1,9,1
58,15,16.7,1,1,0,1,13,0,2,1,1,0,1
59,15,16.8,1,1,0,1,12,0,1,1,1,4,1
60,15,16.8,1,3,0,1,14,1,6,1,1,8,1
61,15,16.9,1,5,0,1,10,0,8,1,1,6,1
62,15,17.5,1,3,0,1,10,0,2,1,1,10,1
63,15,17.7,1,5,0,1,9,1,2,1,1,0,1
64,15,18.0,1,2,0,1,12,1,7,1,1,1,1
65,15,18.3,1,5,0,1,15,0,1,1,1,3,1
66,15,19.0,1,3,0,1,13,1,4,1,1,1,1
67,15,19.1,1,2,0,1,12,0,1,1,1,7,1
68,15,19.4,1,1,0,1,11,1,3,1,1,8,1
69,15,19.6,1,5,0,1,10,1,2,1,1,0,1
70,15,20.0,1,5,0,1,13,0,7,1,1,2,1
71,15,21.1,1,3,0,1,13,1,1,1,1,7,1
72,15,21.3,1,5,0,1,9,1,2,1,1,3,1
73,15,21.5,1,4,0,1,9,1,7,1,1,7,1
74,15,22.0,1,3,0,1,14,0,6,1,1,1,1
75,15,22.1,1,5,0,1,12,0,2,1,1,1,1
76,15,22.5,1,3,0,1,12,1,4,1,1,9,1
77,15,22.9,1,3,0,1,13,0,7,1,1,3,1
78,15,23.4,1,1,0,1,12,0,1,1,1,0,1
79,15,23.6,1,3,0,1,15,0,3,1,1,0,1
80,15,23.8,1,2,0,1,14,0,6,1,1,2,1
81,15,24.1,1,3,0,1,10,0,5,1,1,2,1
82,15,24.1,1,4,0,1,9,0,6,1,1,2,1
83,15,24.2,1,4,0,1,13,1,3,1,1,2,1
84,15,24.4,1,5,0,1,15,0,7,1,1,1,1
85,15,24.4,1,3,0,1,10,1,1,1,1,4,1
86,15,24.6,1,1,0,1,12,0,4,1,1,1,1
87,15,25.3,1,1,0,1,12,0,8,1,1,4,1
88,15,26.4,1,4,0,1,13,1,1,1,1,8,1
89,15,26.5,1,2,0,1,10,0,8,1,1,3,1
90,15,26.7,1,3,0,1,13,0,3,1,1,8,1
91,15,26.9,1,5,0,1,13,1,5,1,1,9,1
92,15,27.1,1,3,0,1,12,0,1,1,1,2,1
93,15,27.1,1,5,0,1,9,1,2,1,1,8,1
94,15,27.6,1,2,0,1,12,1,4,1,1,1,1
95,15,27.6,1,1,0,1,12,1,1,1,1,3,1
96,15,28.8,1,2,0,1,9,0,4,1,1,7,1
97,15,28.8,1,5,0,1,9,0,8,1,1,0,1
98,15,29.1,1,1,0,1,10,1,2,1,1,5,1
99,15,29.2,1,3,0,1,12,1,5,1,1,4,1
100,15,29.2,1,5,0,1,12,0,4,1,1,4,1
101,15,29.4,1,5,0,1,12,1,6,1,1,6,1
102,15,29.5,1,4,0,1,15,0,1,1,1,2,1
103,15,29.6,1,5,0,1,11,1,3,1,1,5,1
104,15,29.7,1,5,0,1,12,0,3,1,1,3,1
105,15,29.8,1,3,0,1,14,1,4,1,1,9,1
106,15,29.9,1,2,0,1,9,0,1,1,1,5,1
107,15,29.9,1,5,0,1,13,1,5,1,1,7,1
108,16,0.2,1,1,0,1,12,0,3,1,1,0,1
109,16,0.6,1,1,0,1,13,0,3,1,1,4,1
110,16,0.8,1,1,0,1,12,0,8,1,1,3,1
111,16,0.8,1,5,0,1,12,0,5,1,1,1,1
112,16,0.8,1,5,0,1,14,1,3,1,1,0,1
113,16,1.0,1,4,0,1,15,0,4,1,1,3,1
114,16,1.2,1,2,0,1,9,1,4,1,1,1,1
115,16,1.6,1,3,0,1,12,0,4,1,1,3,1
116,16,1.7,1,3,0,1,15,1,3,1,1,4,1
117,16,1.8,1,5,0,1,15,0,6,1,1,1,1
118,16,1.9,1,4,0,1,10,0,1,1,1,6,1
119,16,1.9,1,5,0,1,10,0,1,1,1,4,1
120,16,2.1,1,2,0,1,9,1,4,1,1,3,1
121,16,2.2,1,2,0,1,15,1,2,1,1,9,1
122,16,2.3,1,5,0,1,11,0,3,1,1,0,1
123,16,2.3,1,4,0,1,13,1,8,1,1,2,1
124,16,2.3,1,3,0,1,12,1,7,1,1,8,1
125,16,2.4,1,4,0,1,12,1,8,1,1,5,1
126,16,2.7,1,1,0,1,14,1,2,1,1,6,1
127,16,2.8,1,5,0,1,12,0,8,1,1,1,1
128,16,2.8,1,4,0,1,12,1,8,1,1,1,1
129,16,3.1,1,3,0,1,9,0,7,1,1,2,1
130,16,3.3,1,4,0,1,12,1,6,1,1,7,1
131,16,3.8,1,1,0,1,15,1,1,1,1,6,1
132,16,4.2,1,3,0,1,9,0,5,1,1,6,1
133,16,4.3,1,5,0,1,10,1,8,1,1,2,1
134,16,4.7,1,2,0,1,10,1,5,1,1,10,1
135,16,5.4,1,1,0,1,9,1,4,1,1,3,1
136,16,6.0,1,2,0,1,13,0,5,1,1,5,1
137,16,6.3,1,5,0,1,15,0,2,1,1,0,1
138,16,6.6,1,3,0,1,10,1,4,1,1,10,1
139,16,6.7,1,1,0,1,12,0,5,1,1,4,1
140,16,6.9,1,4,0,1,14,1,2,1,1,0,1
141,16,7.1,1,2,0,1,10,0,5,1,1,3,1
142,16,7.3,1,1,0,1,10,1,4,1,1,9,1
143,16,7.4,1,1,0,1,15,1,3,1,1,1,1
144,16,7.4,1,1,0,1,12,1,3,1,1,2,1
145,16,7.5,1,5,0,1,12,0,6,1,1,1,1
146,16,7.8,1,3,0,1,15,1,2,1,1,10,1
147,16,7.9,1,4,0,1,12,0,5,1,1,7,1
148,16,8.1,1,5,0,1,12,1,1,1,1,10,1
149,16,8.3,1,2,0,1,15,1,3,1,1,2,1
150,16,8.4,1,3,0,1,12,1,3,1,1,0,1
151,16,8.8,1,5,0,1,9,1,8,1,1,2,1
152,16,9.3,1,4,0,1,13,0,3,1,1,4,1
153,16,9.8,1,5,0,1,15,1,8,1,1,4,1
154,16,10.0,1,3,0,1,13,0,7,1,1,4,1
155,16,10.3,1,1,0,1,12,0,1,1,1,3,1
156,16,10.4,1,1,0,1,11,0,7,1,1,1,1
157,16,10.7,1,1,0,1,14,0,2,1,1,1,1
158,16,11.4,1,3,0,1,13,1,7,1,1,1,1
159,16,11.8,1,4,0,1,12,1,2,1,1,3,1
160,16,11.9,1,5,0,1,11,1,8,1,1,8,1
161,16,12.1,1,5,0,1,12,0,5,1,1,5,1
162,16,12.2,1,2,0,1,14,0,7,1,1,8,1
163,16,12.2,1,5,0,1,10,1,5,1,1,5,1
164,16,12.7,1,4,0,1,11,0,6,1,1,2,1
165,16,13.2,1,2,0,1,13,1,4,1,1,9,1
166,16,13.6,1,5,0,1,12,1,8,1,1,2,1
167,16,13.6,1,2,0,1,15,1,4,1,1,5,1
168,16,14.0,1,2,0,1,10,0,1,1,1,5,1
169,16,14.0,1,3,0,1,12,0,5,1,1,1,1
170,16,15.2,1,2,0,1,10,1,6,1,1,0,1
171,16,15.3,1,5,0,1,13,1,5,1,1,6,1
172,16,15.7,1,2,0,1,12,1,6,1,1,1,1
173,16,16.0,1,3,0,1,15,0,2,1,1,2,1
174,16,16.3,1,5,0,1,12,1,4,1,1,5,1
175,16,16.5,1,3,0,1,14,1,6,1,1,8,1
176,16,17.0,1,1,0,1,13,0,7,1,1,3,1
177,16,17.2,1,2,0,1,12,0,2,1,1,0,1
178,16,18.2,1,5,0,1,12,0,4,1,1,7,1
179,16,18.2,1,4,0,1,10,1,3,1,1,0,1
180,16,18.9,1,1,0,1,14,1,5,1,1,4,1
181,16,19.0,1,3,0,1,12,0,6,1,1,8,1
182,16,19.2,1,3,0,1,15,1,8,1,1,9,1
183,16,19.4,1,2,0,1,14,0,3,1,1,1,1
184,16,19.5,1,3,0,1,14,1,6,1,1,3,1
185,16,19.7,1,5,0,1,12,0,1,1,1,0,1
186,16,19.8,1,4,0,1,10,0,1,1,1,2,1
187,16,19.8,1,5,0,1,13,0,1,1,1,1,1
188,16,20.1,1,5,0,1,15,1,4,1,1,4,1
189,16,20.3,1,4,0,1,11,0,2,1,1,2,1
190,16,20.5,1,5,0,1,12,0,3,1,1,2,1
191,16,20.7,1,5,0,1,11,0,8,1,1,3,1
192,16,21.1,1,1,0,1,10,1,7,1,1,2,1
193,16,21.6,1,3,0,1,12,0,3,1,1,1,1
194,16,21.6,1,3,0,1,11,1,1,1,1,9,1
195,16,21.7,1,5,0,1,15,1,8,1,1,2,1
196,16,22.3,1,1,0,1,11,1,6,1,1,7,1
197,16,22.5,1,5,0,1,11,1,8,1,1,2,1
198,16,22.9,1,3,0,1,14,0,4,1,1,4,1
199,16,23.1,1,3,0,1,9,1,8,1,1,9,1
200,16,23.3,1,4,0,1,14,0,6,1,1,1,1
201,16,24.1,1,5,0,1,15,1,4,1,1,4,1
202,16,24.1,1,2,0,1,12,0,4,1,1,7,1
203,16,24.5,1,3,0,1,9,0,4,1,1,3,1
204,16,24.5,1,3,0,1,9,0,2,1,1,0,1
205,16,24.7,1,2,0,1,14,0,7,1,1,3,1
206,16,24.9,1,1,0,1,10,1,8,1,1,2,1
207,16,25.2,1,2,0,1,12,0,7,1,1,2,1
208,16,25.2,1,3,0,1,9,1,1,1,1,0,1
209,16,25.2,1,2,0,1,9,0,2,1,1,2,1
210,16,25.2,1,3,0,1,12,0,7,1,1,2,1
211,16,25.4,1,5,0,1,15,1,3,1,1,4,1
212,16,25.5,1,4,0,1,14,0,7,1,1,2,1
213,16,25.6,1,4,0,1,14,0,7,1,1,9,1
214,16,26.0,1,2,0,1,13,1,5,1,1,7,1
215,16,26.1,1,1,0,1,13,1,2,1,1,4,1
216,16,26.2,1,1,0,1,12,0,7,1,1,10,1
217,16,26.2,1,3,0,1,13,0,7,1,1,1,1
218,16,26.3,1,1,0,1,10,0,2,1,1,4,1
219,16,26.7,1,3,0,1,10,0,4,1,1,1,1
220,16,26.9,1,2,0,1,15,0,8,1,1,8,1
221,16,27.4,1,4,0,1,9,0,8,1,1,4,1
222,16,27.4,1,1,0,1,13,1,6,1,1,4,1
223,16,27.5,1,3,0,1,12,0,1,1,1,8,1
224,16,27.7,1,2,0,1,15,1,5,1,1,4,1
225,16,27.8,1,3,0,1,9,0,6,1,1,9,1
226,16,27.9,1,1,0,1,13,0,3,1,1,1,1
227,16,28.1,1,5,0,1,12,0,2,1,1,4,1
228,16,28.5,1,4,0,1,15,0,7,1,1,3,1
229,16,28.6,1,3,0,1,12,0,5,1,1,8,1
230,16,29.0,1,1,0,1,13,0,6,1,1,8,1
231,16,29.3,1,5,0,1,12,1,1,1,1,6,1
232,17,0.3,1,2,0,1,10,0,2,1,1,2,1
233,17,0.4,1,2,0,1,11,1,1,1,1,0,1
234,17,0.8,1,3,0,1,12,1,1,1,1,8,1
235,17,1.3,1,5,0,1,12,1,2,1,1,9,1
236,17,1.5,1,2,0,1,9,0,5,1,1,8,1
237,17,2.9,1,1,0,1,9,1,2,1,1,4,1
238,17,3.1,1,3,0,1,9,1,6,1,1,10,1
239,17,3.1,1,1,0,1,13,1,2,1,1,3,1
240,17,3.4,1,2,0,1,13,1,2,1,1,4,1
241,17,3.9,1,2,0,1,11,0,5,1,1,0,1
242,17,4.0,1,4,0,1,9,1,4,1,1,3,1
243,17,4.1,1,4,0,1,12,1,3,1,1,1,1
244,17,4.3,1,2,0,1,10,0,5,1,1,5,1
245,17,5.1,1,2,0,1,11,0,4,1,1,2,1
246,17,5.3,1,5,0,1,12,0,7,1,1,8,1
247,17,5.3,1,1,0,1,15,0,6,1,1,1,1
248,17,6.0,1,3,0,1,11,1,7,1,1,3,1
249,17,6.3,1,2,0,1,12,0,4,1,1,1,1
250,17,7.1,1,3,0,1,12,1,1,1,1,1,1
251,17,7.2,1,2,0,1,10,1,7,1,1,4,1
252,17,7.9,1,2,0,1,11,0,5,1,1,4,1
253,17,8.0,1,5,0,1,13,0,5,1,1,3,1
254,17,8.0,1,2,0,1,11,0,6,1,1,2,1
255,17,8.0,1,4,0,1,15,0,4,1,1,8,1
256,17,8.8,1,2,0,1,13,0,6,1,1,4,1
257,17,9.4,1,2,0,1,10,0,7,1,1,2,1
258,17,9.4,1,1,0,1,12,1,5,1,1,7,1
259,17,9.7,1,1,0,1,14,0,2,1,1,5,1
260,17,9.8,1,2,0,1,12,1,3,1,1,2,1
261,17,10.1,1,1,0,1,12,0,7,1,1,3,1
262,17,10.2,1,1,0,1,13,0,2,1,1,6,1
263,17,10.2,1,1,0,1,12,1,7,1,1,9,1
264,17,10.4,1,2,0,1,10,0,7,1,1,5,1
265,17,10.6,1,5,0,1,12,1,7,1,1,1,1
266,17,10.6,1,1,0,1,10,0,1,1,1,7,1
267,17,10.9,1,4,0,1,12,1,8,1,1,1,1
268,17,10.9,1,3,0,1,11,1,6,1,1,7,1
269,17,11.5,1,5,0,1,14,0,8,1,1,1,1
270,17,11.8,1,3,0,1,12,0,8,1,1,0,1
271,17,12.3,1,1,0,1,12,0,8,1,1,9,1
272,17,12.5,1,1,0,1,12,0,1,1,1,7,1
273,17,12.6,1,5,0,1,14,0,3,1,1,9,1
274,17,12.8,1,4,0,1,14,1,4,1,1,9,1
275,17,12.8,1,2,0,1,14,0,5,1,1,3,1
276,17,12.9,1,1,0,1,11,0,2,1,1,0,1
277,17,14.2,1,1,0,1,13,0,2,1,1,1,1
278,17,15.3,1,5,0,1,10,0,6,1,1,2,1
279,17,15.9,1,3,0,1,9,0,7,1,1,9,1
280,17,16.1,1,5,0,1,9,1,2,1,1,5,1
281,17,16.1,1,5,0,1,10,1,3,1,1,4,1
282,17,16.2,1,2,0,1,9,1,1,1,1,1,1
283,17,17.0,1,2,0,1,14,0,7,1,1,3,1
284,17,17.3,1,2,0,1,14,0,7,1,1,2,1
285,17,17.4,1,5,0,1,14,0,4,1,1,6,1
286,17,17.5,1,3,0,1,12,1,2,1,1,8,1
287,17,18.1,1,4,0,1,11,1,5,1,1,5,1
288,17,18.4,1,1,0,1,11,0,7,1,1,10,1
289,17,19.0,1,5,0,1,11,0,6,1,1,4,1
290,17,19.4,1,1,0,1,15,1,1,1,1,0,1
291,17,19.4,1,4,0,1,12,1,4,1,1,8,1
292,17,19.6,1,5,0,1,10,1,5,1,1,2,1
293,17,19.8,1,5,0,1,9,1,1,1,1,10,1
294,17,20.5,1,3,0,1,13,0,2,1,1,4,1
295,17,20.5,1,3,0,1,13,1,7,1,1,7,1
296,17,21.8,1,4,0,1,12,1,2,1,1,3,1
297,17,22.1,1,5,0,1,9,0,7,1,1,0,1
298,17,22.5,1,1,0,1,9,0,7,1,1,5,1
299,17,22.7,1,3,0,1,11,1,1,1,1,1,1
300,17,23.0,1,5,0,1,12,0,2,1,1,10,1
301,17,23.1,1,2,0,1,11,0,1,1,1,1,1
302,17,23.1,1,1,0,1,11,0,3,1,1,2,1
303,17,23.3,1,2,0,1,14,1,6,1,1,0,1
304,17,24.4,1,5,0,1,12,0,2,1,1,0,1
305,17,24.5,1,4,0,1,12,0,1,1,1,6,1
306,17,24.9,1,5,0,1,14,1,3,1,1,4,1
307,17,25.1,1,2,0,1,11,1,7,1,1,7,1
308,17,25.4,1,1,0,1,14,0,3,1,1,4,1
309,17,25.5,1,3,0,1,9,0,6,1,1,3,1
310,17,26.2,1,4,0,1,9,0,7,1,1,4,1
311,17,26.5,1,5,0,1,9,1,6,1,1,4,1
312,17,27.3,1,1,0,1,10,1,5,1,1,0,1
313,17,27.4,1,1,0,1,13,0,5,1,1,3,1
314,17,27.6,1,2,0,1,14,0,2,1,1,0,1
315,17,27.7,1,5,0,1,9,0,4,1,1,8,1
316,17,27.7,1,4,0,1,9,0,4,1,1,4,1
317,17,27.8,1,3,0,1,11,1,3,1,1,10,1
318,17,28.3,1,5,0,1,9,1,8,1,1,1,1
319,17,28.3,1,4,0,1,13,0,7,1,1,4,1
320,17,28.4,1,4,0,1,9,0,1,1,1,7,1
321,17,28.4,1,5,0,1,9,1,2,1,1,4,1
322,17,28.7,1,2,0,1,9,1,4,1,1,0,1
323,17,29.1,1,1,0,1,10,0,7,1,1,0,1
324,17,29.2,1,2,0,1,9,0,5,1,1,1,1
325,17,29.4,1,5,0,1,12,1,5,1,1,3,1
326,17,29.7,1,4,0,1,11,1,8,1,1,1,1
327,18,0.2,1,1,0,1,12,0,7,1,1,6,1
328,18,1.1,1,2,0,1,15,0,2,1,1,0,1
329,18,1.2,1,5,0,1,15,0,6,1,1,8,1
330,18,1.3,1,3,0,1,14,1,7,1,1,8,1
331,18,1.4,1,3,0,1,11,1,3,1,1,8,1
332,18,1.7,1,3,0,1,13,1,7,1,1,4,1
333,18,1.9,1,2,0,1,15,1,2,1,1,0,1
334,18,2.5,1,1,0,1,12,1,2,1,1,1,1
335,18,2.6,1,4,0,1,15,1,8,1,1,1,1
336,18,3.2,1,3,0,1,12,1,5,1,1,0,1
337,18,3.4,1,2,0,1,14,1,8,1,1,2,1
338,18,3.5,1,4,0,1,10,1,7,1,1,4,1
339,18,3.9,1,2,0,1,9,1,3,1,1,3,1
340,18,3.9,1,1,0,1,13,0,3,1,1,0,1
341,18,4.0,1,4,0,1,12,0,6,1,1,4,1
342,18,4.3,1,1,0,1,14,0,6,1,1,6,1
343,18,4.6,1,4,0,1,9,1,4,1,1,4,1
344,18,4.7,1,4,0,1,13,0,7,1,1,1,1
345,18,4.8,1,3,0,1,11,1,5,1,1,0,1
346,18,4.9,1,1,0,1,10,1,3,1,1,1,1
347,18,5.0,1,5,0,1,13,1,8,1,1,2,1
348,18,5.0,1,5,0,1,12,0,6,1,1,2,1
349,18,5.1,1,4,0,1,9,0,8,1,1,2,1
350,18,5.2,1,5,0,1,12,1,5,1,1,0,1
351,18,5.7,1,2,0,1,10,1,6,1,1,5,1
352,18,6.2,1,3,0,1,12,1,1,1,1,2,1
353,18,6.2,1,1,0,1,9,1,4,1,1,0,1
354,18,6.3,1,1,0,1,9,0,7,1,1,0,1
355,18,6.4,1,3,0,1,14,0,6,1,1,2,1
356,18,6.6,1,4,0,1,10,1,7,1,1,9,1
357,18,6.9,1,3,0,1,13,0,4,1,1,4,1
358,18,7.3,1,2,0,1,12,1,6,1,1,1,1
359,18,8.0,1,4,0,1,9,1,7,1,1,8,1
360,18,8.1,1,4,0,1,12,0,8,1,1,10,1
361,18,8.4,1,3,0,1,14,0,6,1,1,2,1
362,18,8.8,1,3,0,1,12,1,3,1,1,2,1
363,18,9.7,1,2,0,1,10,0,2,1,1,10,1
364,18,10.0,1,1,0,1,10,1,1,1,1,3,1
365,18,10.2,1,1,0,1,12,1,1,1,1,2,1
366,18,10.3,1,4,0,1,15,0,6,1,1,0,1
367,18,10.5,1,3,0,1,14,1,1,1,1,1,1
368,18,11.2,1,4,0,1,12,1,6,1,1,8,1
369,18,11.2,1,2,0,1,13,1,5,1,1,3,1
370,18,11.6,1,5,0,1,12,0,5,1,1,1,1
371,18,11.8,1,3,0,1,11,1,5,1,1,1,1
372,18,12.0,1,2,0,1,12,0,4,1,1,3,1
373,18,12.0,1,5,0,1,15,0,1,1,1,2,1
374,18,12.2,1,4,0,1,14,0,7,1,1,8,1
375,18,12.4,1,1,0,1,11,1,8,1,1,0,1
376,18,12.5,1,3,0,1,10,0,6,1,1,2,1
377,18,12.7,1,2,0,1,11,1,7,1,1,3,1
378,18,12.8,1,1,0,1,9,1,7,1,1,0,1
379,18,12.9,1,3,0,1,11,1,7,1,1,9,1
380,18,13.2,1,5,0,1,15,1,7,1,1,0,1
381,18,13.3,1,5,0,1,10,0,4,1,1,1,1
382,18,13.6,1,5,0,1,11,1,3,1,1,1,1
383,18,14.0,1,5,0,1,15,0,8,1,1,2,1
384,18,14.1,1,2,0,1,14,1,6,1,1,2,1
385,18,14.3,1,3,0,1,11,0,8,1,1,6,1
386,18,14.6,1,2,0,1,9,0,6,1,1,2,1
387,18,14.7,1,5,0,1,9,1,4,1,1,3,1
388,18,15.1,1,1,0,1,15,0,6,1,1,0,1
389,18,15.5,1,5,0,1,12,1,6,1,1,4,1
390,18,16.0,1,5,0,1,12,0,3,1,1,8,1
391,18,16.4,1,3,0,1,13,0,3,1,1,1,1
392,18,16.5,1,3,0,1,15,1,3,1,1,2,1
393,18,16.6,1,3,0,1,15,1,2,1,1,8,1
394,18,17.0,1,2,0,1,15,1,4,1,1,8,1
395,18,17.4,1,5,0,1,11,1,1,1,1,2,1
396,18,17.7,1,4,0,1,10,0,7,1,1,8,1
397,18,17.9,1,1,0,1,14,0,5,1,1,4,1
398,18,18.1,1,5,0,1,10,1,5,1,1,2,1
399,18,18.2,1,3,0,1,12,1,7,1,1,4,1
400,18,18.3,1,3,0,1,9,0,2,1,1,6,1
401,18,18.7,1,4,0,1,9,0,8,1,1,6,1
402,18,19.5,1,2,0,1,11,0,2,1,1,1,1
403,18,19.5,1,4,0,1,9,1,5,1,1,7,1
404,18,19.6,1,2,0,1,9,0,6,1,1,0,1
405,18,19.6,1,4,0,1,13,1,7,1,1,3,1
406,18,19.7,1,1,0,1,15,0,1,1,1,6,1
407,18,19.7,1,2,0,1,13,1,3,1,1,9,1
408,18,20.3,1,5,0,1,12,1,8,1,1,7,1
409,18,20.7,1,2,0,1,12,0,8,1,1,7,1
410,18,21.0,1,4,0,1,12,0,1,1,1,6,1
411,18,21.1,1,4,0,1,15,1,2,1,1,2,1
412,18,21.4,1,5,0,1,14,1,5,1,1,1,1
413,18,22.1,1,1,0,1,15,1,2,1,1,3,1
414,18,22.3,1,4,0,1,15,1,6,1,1,0,1
415,18,22.9,1,4,0,1,13,1,5,1,1,5,1
416,18,23.1,1,5,0,1,11,0,1,1,1,10,1
417,18,23.4,1,2,0,1,12,0,2,1,1,8,1
418,18,23.6,1,2,0,1,14,0,4,1,1,3,1
419,18,23.6,1,2,0,1,12,0,4,1,1,0,1
420,18,23.9,1,3,0,1,12,0,3,1,1,8,1
421,18,23.9,1,2,0,1,15,1,6,1,1,8,1
422,18,23.9,1,5,0,1,14,1,2,1,1,8,1
423,18,24.0,1,1,0,1,12,0,8,1,1,10,1
424,18,24.2,1,3,0,1,14,0,3,1,1,6,1
425,18,24.2,1,4,0,1,11,0,3,1,1,1,1
426,18,24.8,1,3,0,1,14,0,7,1,1,2,1
427,18,24.9,1,4,0,1,9,1,4,1,1,1,1
428,18,25.2,1,5,0,1,12,1,3,1,1,4,1
429,18,25.4,1,2,0,1,13,0,3,1,1,0,1
430,18,25.4,1,1,0,1,13,0,6,1,1,3,1
431,18,25.7,1,5,0,1,14,1,7,1,1,1,1
432,18,25.8,1,2,0,1,13,1,2,1,1,0,1
433,18,26.0,1,5,0,1,10,0,6,1,1,1,1
434,18,26.1,1,5,0,1,14,0,8,1,1,1,1
435,18,26.1,1,5,0,1,12,0,8,1,1,4,1
436,18,26.7,1,5,0,1,10,0,8,1,1,7,1
437,18,27.3,1,4,0,1,9,1,4,1,1,2,1
438,18,27.3,1,2,0,1,15,1,1,1,1,3,1
439,18,27.7,1,2,0,1,11,1,5,1,1,7,1
440,18,28.0,1,3,0,1,15,1,8,1,1,2,1
441,18,28.2,1,3,0,1,14,1,7,1,1,5,1
442,18,28.3,1,2,0,1,14,1,4,1,1,1,1
443,18,28.6,1,5,0,1,12,0,7,1,1,0,1
444,18,29.7,1,4,0,1,14,1,6,1,1,2,1
445,18,29.9,1,1,0,1,9,1,7,1,1,1,1
446,19,0.2,1,3,0,1,12,0,1,1,1,0,1
447,19,0.3,1,3,0,1,9,1,5,1,1,7,1
448,19,0.7,1,3,0,1,14,0,7,1,1,4,1
449,19,0.7,1,2,0,1,9,0,8,1,1,8,1
450,19,0.9,1,4,0,1,15,0,5,1,1,7,1
451,19,1.1,1,1,0,1,9,0,8,1,1,5,1
452,19,1.5,1,3,0,1,12,0,5,1,1,0,1
453,19,1.6,1,1,0,1,9,1,6,1,1,4,1
454,19,1.9,1,4,0,1,15,0,4,1,1,1,1
455,19,1.9,1,4,0,1,12,1,7,1,1,1,1
456,19,1.9,1,3,0,1,12,0,6,1,1,4,1
457,19,2.0,1,1,0,1,14,1,7,1,1,0,1
458,19,2.6,1,1,0,1,9,1,3,1,1,4,1
459,19,2.7,1,2,0,1,14,0,4,1,1,10,1
