,NPS_Score,NPS_Category,Timely_delivery,No_of_calls_in_an_Order,Loyalty_Years,C_Marital_Status,Tier_City,Mode_of_Payment,No_of_Items_in_Order,Gender,Order_Mode,Score_on_Food_Quality,Score_on_Order_Logistics,Menu_Presentation_Score,Score_on_Recommendations,Score_on_Delivery_Person_Friendliness,labels
32,3,0,0,4,4,0,2,0,3,1,0,7,2,4,2,4,2
33,7,1,0,4,4,1,0,3,3,0,1,10,6,7,10,10,0
34,8,1,1,4,1,0,1,1,4,1,2,10,9,9,4,2,1
35,4,0,0,4,10,1,2,2,4,0,0,4,6,2,3,1,1
36,3,0,1,4,3,0,0,0,5,1,1,10,3,8,1,3,2
37,6,0,1,4,9,1,1,3,1,0,1,9,5,3,7,4,2
38,7,1,0,4,1,0,2,1,5,1,0,5,9,5,7,8,0
39,5,0,1,4,8,1,0,2,3,0,0,10,8,10,5,4,1
40,7,1,1,4,7,0,1,0,4,1,2,10,6,3,4,5,0
41,10,2,0,4,7,0,0,3,5,0,2,9,3,3,1,10,0
42,8,1,1,4,1,0,0,1,3,1,1,9,3,1,7,6,2
43,0,0,1,4,8,1,1,2,2,0,0,10,2,6,10,4,2
44,7,1,0,4,9,0,2,0,4,1,0,6,9,6,3,1,1
45,6,0,1,4,5,1,0,3,1,0,0,10,3,8,3,3,2
46,7,1,1,4,3,0,1,1,7,1,2,9,5,1,8,3,2
47,7,1,0,4,8,1,2,2,5,0,0,7,9,4,2,1,1
48,1,0,0,4,8,0,0,0,1,1,0,10,7,9,3,2,1
49,8,1,0,4,3,1,1,3,4,0,2,9,10,4,5,7,0
50,7,1,0,4,3,0,2,1,1,1,0,4,1,2,8,7,2
51,0,0,0,4,6,1,0,2,4,0,0,9,6,4,8,5,2
52,1,0,0,4,5,0,1,0,1,1,0,9,1,3,4,4,2
53,1,0,1,4,5,1,2,3,6,0,0,6,9,1,7,9,1
54,6,0,0,4,2,0,0,1,6,1,0,9,1,1,5,5,2
55,10,2,0,4,6,1,0,2,9,0,2,10,8,2,5,9,0
56,1,0,0,4,8,0,2,0,4,1,0,8,7,7,6,7,1
57,5,0,1,4,3,1,0,3,1,0,2,10,9,9,7,6,1
58,10,2,1,4,3,0,1,1,8,1,1,9,4,6,1,10,0
59,7,1,1,4,10,1,2,2,6,0,0,8,6,6,8,1,1
60,1,0,1,4,8,0,0,0,1,1,2,9,4,3,10,2,2
61,8,1,0,4,4,1,1,3,3,0,2,10,2,2,4,1,2
62,7,1,0,4,2,0,2,1,7,1,0,5,8,2,3,2,1
63,5,0,1,4,2,1,0,2,5,0,2,10,4,6,3,2,2
64,5,0,1,4,4,0,1,0,1,1,2,9,3,1,9,5,2
65,7,1,0,4,8,1,2,3,1,0,0,7,7,7,2,1,1
66,0,0,1,4,2,0,0,1,1,1,2,9,3,8,10,4,2
67,4,0,1,4,3,1,1,2,3,0,2,9,4,6,6,1,2
68,10,2,1,4,2,0,0,0,10,1,2,10,10,3,6,10,0
69,9,2,0,4,7,0,0,3,7,0,2,10,1,5,5,7,0
70,9,2,1,4,7,0,0,1,5,1,2,10,8,1,7,7,0
71,1,0,0,4,10,1,2,2,7,0,0,6,1,7,9,4,2
72,1,0,1,4,1,0,1,0,6,1,2,10,6,2,5,7,2
73,6,0,1,4,5,1,1,3,1,0,2,9,6,3,4,1,1
74,10,2,1,4,4,0,0,1,9,1,2,10,6,6,2,8,0
75,2,0,1,4,4,1,0,2,4,0,2,9,5,1,6,5,2
76,0,0,1,4,9,0,1,0,7,1,2,9,6,4,7,1,1
77,8,1,1,4,2,1,2,3,1,0,0,5,6,6,5,6,1
78,4,0,1,4,5,0,0,1,2,1,2,10,9,9,4,4,1
79,5,0,1,4,8,1,1,2,7,0,2,9,2,6,3,1,2
80,8,1,1,4,7,0,2,0,6,1,0,4,3,9,1,8,0
81,3,0,1,4,9,1,0,3,7,0,2,9,8,3,6,6,1
82,2,0,1,4,5,0,1,1,1,1,2,10,4,5,2,3,2
83,7,1,0,4,4,1,2,2,2,0,0,5,8,5,1,1,1
84,2,0,1,4,9,0,0,0,3,1,2,9,4,8,2,1,2
85,1,0,1,4,3,1,1,3,6,0,2,10,8,10,10,1,1
86,9,2,0,4,8,0,2,1,2,1,0,7,7,4,10,7,0
87,1,0,0,4,6,0,0,2,10,0,1,9,9,2,8,10,0
88,7,1,1,4,6,0,1,0,5,1,2,9,2,9,3,5,2
89,7,1,0,4,10,1,2,3,3,0,0,6,5,2,4,2,1
90,6,0,1,4,3,0,0,1,3,1,2,9,1,3,3,6,2
91,5,0,1,4,3,1,1,2,7,0,2,10,1,9,3,3,2
92,7,1,0,4,5,0,2,0,4,1,0,4,1,4,8,1,2
93,3,0,1,4,9,1,0,3,1,0,2,10,6,4,6,1,1
94,1,0,1,4,4,0,1,1,7,1,2,9,7,6,2,6,1
95,7,1,1,4,4,1,2,2,1,0,0,7,1,6,2,6,2
96,10,2,1,4,3,0,1,0,10,1,2,9,10,2,2,9,0
97,2,0,1,4,8,1,1,3,1,0,2,10,8,6,10,6,1
98,7,1,0,4,5,0,2,1,2,1,0,4,6,4,4,1,1
99,9,2,0,4,5,0,0,2,6,0,2,10,4,6,10,10,0
100,5,0,1,4,2,0,1,0,3,1,2,10,6,3,5,5,2
101,1,0,0,4,6,1,2,3,2,0,0,4,10,5,4,4,1
102,4,0,1,4,4,0,0,1,3,1,2,10,7,6,3,1,1
103,1,0,1,4,7,1,1,2,5,0,2,9,9,5,8,3,1
104,7,1,0,4,8,0,2,0,1,1,0,8,5,3,10,3,2
105,9,2,0,4,5,0,0,3,10,0,2,9,1,9,5,7,0
106,6,0,1,4,1,0,1,1,1,1,2,10,3,10,4,3,2
107,10,2,0,4,5,0,0,2,7,0,2,10,8,10,9,9,0
108,8,1,1,4,8,0,0,0,1,1,1,10,9,4,3,3,1
109,6,0,1,4,8,1,1,3,7,0,2,9,3,7,1,2,2
110,10,2,1,4,7,0,0,1,6,1,1,10,4,5,7,9,0
111,9,2,0,4,7,0,0,2,6,0,2,10,4,1,10,10,0
112,0,0,1,4,10,0,1,0,2,1,2,9,4,10,10,6,2
113,7,1,0,4,2,1,2,3,4,0,0,5,8,8,1,7,0
114,4,0,1,4,8,0,0,1,4,1,2,10,2,7,7,5,2
115,2,0,1,4,9,1,1,2,3,0,2,9,1,4,8,1,2
116,7,1,0,4,2,0,2,0,4,1,0,7,8,3,3,10,0
117,10,2,0,4,7,0,0,3,7,0,2,10,8,8,2,9,0
118,9,2,1,4,5,0,0,1,8,1,2,10,7,10,3,10,0
119,7,1,1,4,6,1,2,2,2,0,0,7,9,5,5,1,1
120,8,1,1,4,7,0,0,0,5,1,1,10,8,6,5,9,0
121,10,2,0,4,6,0,0,3,5,0,2,9,9,7,7,9,0
122,10,2,1,4,9,0,0,1,6,1,2,9,2,8,10,10,0
123,4,0,1,4,8,1,0,2,6,0,2,10,6,10,3,2,1
124,0,0,1,4,7,0,1,0,6,1,2,9,1,1,3,6,2
125,1,0,0,4,1,1,2,3,7,0,0,4,8,9,2,3,1
126,0,0,1,4,9,0,0,1,3,1,2,10,6,6,8,5,2
127,9,2,0,4,7,1,0,2,6,0,1,9,7,3,6,9,0
128,10,2,1,4,6,0,0,0,7,1,2,9,8,5,2,7,0
129,10,2,0,4,6,0,0,3,9,0,2,9,7,6,7,9,0
130,0,0,1,4,7,0,1,1,5,1,2,9,2,10,7,6,2
131,7,1,0,4,8,1,2,2,4,0,0,4,8,5,1,9,0
132,1,0,1,4,4,0,0,0,3,1,2,9,4,1,9,4,2
133,5,0,1,4,10,1,1,3,6,0,2,10,9,3,9,2,1
134,8,1,1,4,4,0,2,1,2,1,0,5,8,5,3,1,1
135,7,1,0,4,10,1,0,2,6,0,1,9,3,1,10,10,0
136,2,0,1,4,4,0,1,0,7,1,2,9,7,3,6,2,1
137,9,2,0,4,7,0,0,3,9,0,2,10,10,8,5,10,0
138,9,2,1,4,4,0,0,1,10,1,2,10,9,9,10,10,0
139,6,0,1,4,1,1,1,2,2,0,2,9,3,1,8,2,2
140,10,2,1,4,1,0,0,0,8,1,1,10,6,5,5,7,0
141,7,1,0,4,7,1,0,3,2,0,1,9,9,2,10,3,1
142,4,0,1,4,10,0,1,1,4,1,2,9,3,8,5,2,2
143,7,1,0,4,5,1,2,2,7,0,0,8,9,4,1,9,0
144,0,0,1,4,2,0,0,0,1,1,2,9,5,9,5,5,2
145,3,0,1,4,4,1,1,3,2,0,2,9,10,4,3,6,1
146,10,2,1,4,7,0,0,1,6,1,2,10,2,2,6,10,0
147,10,2,0,4,5,0,0,2,5,0,2,9,9,9,1,8,0
148,2,0,1,4,3,0,1,0,1,1,2,10,5,7,10,3,2
149,7,1,0,4,6,1,2,3,6,0,0,6,6,9,9,1,1
150,2,0,1,4,6,0,0,1,5,1,2,9,4,4,2,6,2
151,1,0,1,4,4,1,1,2,7,0,2,10,3,10,1,4,2
152,10,2,1,4,8,0,0,0,9,1,2,9,6,2,5,7,0
153,5,0,1,4,10,1,0,3,5,0,2,9,7,5,10,5,1
154,6,0,1,4,2,0,1,1,5,1,2,9,2,10,9,1,2
155,7,1,0,4,4,1,2,2,1,0,0,5,2,7,3,4,2
156,10,2,1,4,8,0,0,0,5,1,1,9,10,6,7,10,0
157,3,0,1,4,2,1,1,3,4,0,2,9,5,8,3,1,2
158,7,1,1,4,10,0,2,1,6,1,0,4,8,2,7,5,1
159,2,0,1,4,8,1,0,2,1,0,2,10,2,4,9,4,2
160,2,0,1,4,10,0,1,0,7,1,2,10,8,7,3,4,1
161,7,1,1,4,8,1,2,3,6,0,0,5,3,8,10,2,2
162,1,0,1,4,8,0,0,1,5,1,2,10,9,6,8,5,1
163,6,0,1,4,3,1,1,2,2,0,2,9,1,6,5,2,2
164,7,1,0,4,10,0,2,0,4,1,0,7,5,4,6,5,2
165,5,0,1,4,1,1,0,3,5,0,2,9,9,3,3,5,1
166,2,0,1,4,7,0,1,1,7,1,2,10,1,7,2,6,2
167,7,1,0,4,5,1,2,2,6,0,0,4,3,3,2,4,2
168,0,0,1,4,4,0,0,0,5,1,2,9,7,1,10,2,1
169,6,0,1,4,8,1,1,3,7,0,2,10,10,4,7,3,1
170,10,2,1,4,3,0,0,1,5,1,2,10,5,8,7,7,0
171,7,1,0,4,2,1,0,2,4,0,1,10,2,6,7,10,0
172,0,0,1,4,1,0,1,0,2,1,2,10,4,1,2,4,2
173,7,1,0,4,1,1,2,3,1,0,0,6,6,8,9,4,1
174,6,0,1,4,6,0,0,1,1,1,2,10,3,8,10,2,2
175,5,0,1,4,2,1,1,2,2,0,2,9,3,2,4,6,2
176,7,1,0,4,10,0,2,0,6,1,0,6,4,3,2,8,0
177,1,0,1,4,4,1,0,3,1,0,2,10,3,1,3,4,2
178,9,2,1,4,2,0,0,1,5,1,2,10,9,8,2,8,0
179,7,1,0,4,2,1,2,2,3,0,0,8,8,2,4,2,1
180,1,0,1,4,4,0,0,0,3,1,2,10,6,9,6,4,2
181,2,0,1,4,2,1,1,3,1,0,2,10,10,1,4,4,1
182,7,1,0,4,8,0,2,1,3,1,0,8,4,6,1,7,0
183,8,1,0,4,8,1,0,2,1,0,1,10,4,9,5,2,2
184,7,1,1,4,5,0,1,0,5,1,2,10,9,6,2,7,0
185,7,1,0,4,7,1,2,3,7,0,0,4,1,4,6,8,0
186,2,0,1,4,5,0,0,1,3,1,2,10,2,7,8,1,2
187,10,2,0,4,5,0,0,2,9,0,2,9,8,9,9,9,0
188,7,1,0,4,7,0,2,0,3,1,0,4,6,2,8,1,1
189,1,0,1,4,3,1,0,3,2,0,2,10,8,9,3,5,1
190,2,0,1,4,1,0,1,1,5,1,2,10,4,1,9,2,2
191,9,2,0,4,7,0,0,2,5,0,2,10,10,9,3,10,0
192,1,0,1,4,5,0,0,0,7,1,2,10,5,7,3,3,2
193,7,1,0,4,6,1,1,3,6,0,2,10,10,9,2,3,1
194,9,2,0,4,3,0,2,1,7,1,0,4,8,3,3,5,0
195,5,0,1,4,1,1,0,2,4,0,2,10,9,10,2,3,1
196,9,2,1,4,6,0,0,0,10,1,0,10,9,5,7,9,0
197,8,1,1,4,2,1,2,3,2,0,0,7,9,6,3,9,0
198,4,0,1,4,8,0,0,1,1,1,2,9,5,5,4,6,2
199,10,2,0,4,5,0,0,2,5,0,2,10,2,9,2,8,0
200,7,1,0,4,6,0,2,0,2,1,0,7,5,2,7,5,2
201,0,0,1,4,3,1,0,3,6,0,2,10,7,9,10,3,1
202,5,0,1,4,10,0,1,1,3,1,2,9,9,1,7,1,1
203,8,1,1,4,7,1,2,2,6,0,0,8,5,7,1,8,0
204,5,0,1,4,1,0,0,0,4,1,2,9,5,3,1,2,2
205,4,0,1,4,9,1,1,3,3,0,2,10,1,1,7,3,2
206,7,1,0,4,6,0,2,1,4,1,0,4,5,8,10,6,2
207,10,2,0,4,5,0,0,2,7,0,2,10,2,5,4,9,0
208,9,2,1,4,3,0,0,0,8,1,2,10,5,5,7,7,0
209,7,1,0,4,3,1,2,3,3,0,0,7,8,10,3,3,1
210,3,0,1,4,1,0,0,1,1,1,2,10,9,5,5,5,1
211,5,0,1,4,8,1,1,2,1,0,2,9,4,8,2,1,2
212,7,1,0,4,6,0,2,0,1,1,0,5,9,4,3,7,1
213,9,2,0,4,7,0,0,3,10,0,2,9,5,10,3,9,0
214,3,0,1,4,3,0,1,1,3,1,2,9,4,10,1,2,2
215,7,1,0,4,1,1,2,2,3,0,0,8,5,9,7,8,0
216,3,0,1,4,1,0,0,0,6,1,2,10,3,8,1,1,2
217,10,2,1,4,5,0,0,3,9,0,0,9,1,7,10,7,0
218,8,1,1,4,5,0,2,1,2,1,0,6,6,4,4,6,0
219,5,0,1,4,6,1,0,2,6,0,2,10,8,4,3,6,1
220,4,0,1,4,10,0,1,0,4,1,2,9,8,10,2,5,1
221,7,1,0,4,7,1,2,3,1,0,0,6,1,3,10,3,2
222,1,0,1,4,8,0,0,1,1,1,2,9,7,8,5,2,1
223,5,0,1,4,1,1,1,2,5,0,2,10,7,5,2,5,1
224,7,1,0,4,7,0,2,0,1,1,0,4,6,4,2,2,1
225,4,0,1,4,7,1,0,3,5,0,2,9,2,6,4,4,2
226,1,0,1,4,4,0,1,1,1,1,2,10,7,5,7,3,1
227,7,1,0,4,1,1,2,2,4,0,0,5,7,3,3,9,0
228,7,1,1,4,7,0,0,0,4,1,1,9,5,4,8,10,0
229,5,0,1,4,3,1,1,3,1,0,2,10,2,4,9,4,2
230,7,1,1,4,2,0,2,1,1,1,0,6,7,8,2,4,1
231,2,0,1,4,2,1,0,2,2,0,2,10,1,6,5,5,2
232,8,1,1,4,9,0,1,0,7,1,2,10,2,2,5,2,2
233,9,2,0,4,6,0,0,3,9,0,2,9,10,5,8,7,0
234,10,2,1,4,4,0,2,1,6,1,2,8,5,5,3,9,0
235,4,0,1,4,3,1,1,2,4,0,2,10,7,4,7,2,1
236,7,1,0,4,1,0,2,0,4,1,0,5,2,2,10,2,2
237,1,0,1,4,1,1,0,3,7,0,2,9,5,9,4,5,2
238,9,2,1,4,7,0,0,1,10,1,2,9,8,1,5,8,0
239,7,1,0,4,5,1,2,2,7,0,0,4,4,2,6,9,0
240,10,2,1,4,9,0,0,0,6,1,0,10,2,4,4,10,0
241,6,0,1,4,7,1,1,3,1,0,2,10,1,4,5,3,2
242,10,2,1,4,2,0,0,1,8,1,2,10,3,6,2,9,0
243,1,0,1,4,9,1,0,2,6,0,2,10,7,10,3,5,1
244,7,1,1,4,3,0,1,0,1,1,2,9,3,2,10,10,0
245,8,1,1,4,8,1,2,3,3,0,0,5,5,6,5,2,1
246,8,1,1,4,2,0,0,1,6,1,1,10,2,1,8,4,2
247,8,1,0,4,7,1,1,2,7,0,2,10,2,9,3,10,0
248,7,1,0,4,4,0,2,0,2,1,0,5,7,5,4,6,1
249,8,1,0,4,9,1,0,3,3,0,1,10,9,9,5,8,0
250,3,0,1,4,3,0,1,1,3,1,2,10,2,5,5,2,2
251,7,1,0,4,5,1,2,2,2,0,0,6,9,4,6,5,1
252,10,2,1,4,3,0,0,0,5,1,2,9,9,2,10,8,0
253,4,0,1,4,10,1,1,3,5,0,2,9,6,2,10,4,1
254,9,2,1,4,9,0,0,1,10,1,2,9,3,6,10,9,0
255,7,1,0,4,3,1,0,2,7,0,1,9,7,4,1,6,0
256,8,1,1,4,4,0,1,0,4,1,2,9,10,1,4,6,1
257,7,1,0,4,8,1,2,3,6,0,0,7,7,1,10,3,1
258,3,0,1,4,3,0,0,1,7,1,0,10,4,8,2,3,2
259,4,0,1,4,7,1,1,2,3,0,0,10,8,5,8,6,1
260,7,1,0,4,6,0,2,0,7,1,0,8,4,6,2,7,0
261,6,0,1,4,9,1,0,3,3,0,0,10,9,5,6,4,1
262,2,0,1,4,5,0,1,1,4,1,0,9,6,9,5,1,1
263,7,1,0,4,2,1,2,2,5,0,0,8,10,6,7,4,1
264,8,1,1,4,7,0,0,0,7,1,1,10,4,9,1,5,0
265,10,2,1,4,7,0,0,3,7,0,0,9,9,9,1,10,0
266,10,2,1,4,6,0,0,1,6,1,2,10,9,3,5,9,0
267,7,1,0,4,4,1,0,2,6,0,1,10,3,3,6,2,2
268,9,2,1,4,3,0,0,0,7,1,2,10,1,10,6,7,0
269,7,1,0,4,3,1,2,3,3,0,0,4,4,3,1,4,2
270,6,0,1,4,9,0,0,1,2,1,0,9,6,3,6,1,1
271,8,1,0,4,9,1,1,2,6,0,2,10,7,1,1,1,1
272,7,1,0,4,3,0,2,0,2,1,0,6,5,4,3,9,0
273,6,0,1,4,2,1,0,3,5,0,0,9,9,8,7,5,1
274,8,1,1,4,3,0,1,1,1,1,2,10,3,10,2,3,2
275,7,1,1,4,6,1,2,2,3,0,0,8,3,2,6,3,2
276,3,0,0,4,7,0,0,0,7,1,0,9,1,10,5,1,2
277,7,1,0,4,8,1,1,3,4,0,2,9,8,2,7,2,1
278,7,1,0,4,3,0,2,1,4,1,0,8,9,6,4,4,1
279,5,0,0,4,2,1,0,2,3,0,0,9,7,8,2,1,1
280,1,0,0,4,8,0,1,0,5,1,0,10,4,3,1,6,2
281,7,1,0,4,2,1,2,3,4,0,0,4,4,6,6,7,0
282,7,1,1,4,2,0,0,1,7,1,1,10,7,3,4,5,0
283,0,0,0,4,2,1,1,2,2,0,0,10,7,6,10,3,1
284,8,1,1,4,2,0,2,0,7,1,0,7,4,7,10,4,2
285,5,0,0,4,4,1,0,3,2,0,0,10,10,9,3,2,1
286,6,0,0,4,3,0,1,1,1,1,0,9,4,4,8,3,2
287,7,1,0,4,8,1,2,2,5,0,0,7,2,10,6,4,2
288,0,0,0,4,4,0,0,0,5,1,0,9,1,7,5,4,2
289,8,1,0,4,1,1,1,3,6,0,2,9,2,2,10,1,2
290,9,2,1,4,4,0,2,1,5,1,0,7,10,3,2,9,0
291,5,0,0,4,9,1,0,2,5,0,0,9,3,10,8,3,2
292,2,0,0,4,1,0,1,0,6,1,0,9,7,7,3,1,1
293,7,1,0,4,10,1,2,3,1,0,0,5,7,5,8,10,0
294,5,0,0,4,10,0,0,1,4,1,0,10,10,5,7,2,1
295,0,0,0,4,8,1,1,2,3,0,0,9,9,2,8,4,1
296,7,1,1,4,1,0,2,0,2,1,0,7,1,8,3,6,2
297,0,0,0,4,6,1,0,3,1,0,0,6,5,10,2,3,2
298,8,1,1,4,9,0,1,1,1,1,2,9,4,9,5,2,2
299,8,1,0,4,2,1,2,2,1,0,0,8,8,6,4,8,0
300,4,0,0,4,5,0,0,0,1,1,0,10,8,9,6,6,1
301,1,0,0,4,10,1,1,3,5,0,0,7,9,4,6,5,1
302,7,1,0,4,5,0,2,1,1,1,0,8,1,8,8,10,2
303,4,0,0,4,5,1,0,2,3,0,0,6,6,7,10,3,1
304,8,1,1,4,9,0,1,0,6,1,2,8,8,5,3,1,1
305,7,1,0,4,7,1,2,3,3,0,0,5,7,5,9,6,1
306,0,0,0,4,7,0,0,1,7,1,0,4,10,10,7,6,1
307,6,0,0,4,1,1,1,2,1,0,0,9,10,4,4,4,1
308,7,1,0,4,6,0,2,0,6,1,0,5,3,8,9,10,0
309,3,0,0,4,7,1,0,3,6,0,0,8,2,3,10,3,2
310,0,0,0,4,9,0,1,1,3,1,0,2,10,8,8,3,1
311,7,1,0,4,8,1,2,2,2,0,0,5,1,3,4,8,2
312,7,1,1,4,6,0,0,0,3,1,1,5,2,10,7,3,2
313,1,0,0,4,2,1,1,3,3,0,0,9,5,6,9,3,2
314,7,1,1,4,6,0,2,1,1,1,0,4,9,4,8,7,1
315,2,0,0,4,8,1,0,2,4,0,0,8,5,3,1,2,2
316,7,1,1,4,3,0,1,0,2,1,2,8,4,9,7,3,2
317,10,2,1,4,5,0,0,3,5,0,0,3,1,2,6,7,0
318,7,1,1,4,9,0,0,1,6,1,1,10,1,5,9,1,2
319,3,0,0,4,1,1,1,2,1,0,0,9,6,10,6,6,2
320,8,1,1,4,4,0,2,0,3,1,0,8,5,9,2,4,2
321,10,2,0,4,5,0,0,3,6,0,2,4,3,3,5,8,0
322,0,0,0,4,8,0,1,1,7,1,0,6,5,2,7,2,2
323,7,1,0,4,3,1,2,2,1,0,0,4,3,3,8,3,2
324,9,2,1,4,5,0,0,0,10,1,2,2,9,7,4,10,0
325,10,2,0,4,7,0,0,3,9,0,2,3,4,10,5,9,0
326,7,1,0,4,6,0,2,1,7,1,0,7,2,5,1,4,2
327,5,0,0,4,9,1,0,2,4,0,0,3,3,4,1,5,2
328,8,1,1,4,2,0,1,0,1,1,2,9,5,7,6,10,0
329,8,1,0,4,1,1,2,3,1,0,0,8,7,6,5,5,1
330,5,0,1,4,8,0,0,1,2,1,0,10,2,3,4,1,2
331,4,0,1,4,3,1,1,2,6,0,0,4,1,2,6,4,2
332,7,1,0,4,4,0,2,0,4,1,0,5,10,5,5,10,0
333,0,0,0,4,3,1,0,3,1,0,0,5,9,2,4,2,1
334,0,0,0,4,5,0,1,1,2,1,0,3,9,4,6,2,1
335,7,1,0,4,8,1,2,2,6,0,0,7,4,10,5,1,2
336,9,2,1,4,4,0,0,0,5,1,2,6,1,10,8,10,0
337,5,0,0,4,9,1,1,3,5,0,0,2,10,5,10,1,1
338,9,2,0,4,10,0,2,1,7,1,0,6,10,3,9,5,0
339,4,0,0,4,5,1,0,2,2,0,0,7,2,5,5,6,2
340,6,0,0,4,1,0,1,0,5,1,0,9,7,9,10,2,1
341,7,1,0,4,4,1,2,3,6,0,0,6,4,8,5,7,0
342,10,2,1,4,10,0,0,1,8,1,2,1,10,9,3,8,0
343,9,2,0,4,6,0,0,2,8,0,2,6,9,2,9,10,0
344,10,2,1,4,5,0,0,0,9,1,2,5,7,6,3,8,0
345,7,1,0,4,9,1,0,3,2,0,1,9,9,6,8,2,1
346,1,0,0,4,4,0,1,1,4,1,0,10,3,10,9,6,2
347,7,1,0,4,6,1,2,2,3,0,0,6,8,2,5,8,0
348,2,0,0,4,3,0,0,0,2,1,0,4,1,5,9,5,2
349,4,0,0,4,8,1,1,3,3,0,0,1,9,10,3,2,1
350,10,2,1,4,9,0,0,1,7,1,2,5,10,7,6,10,0
351,6,0,0,4,5,1,0,2,5,0,0,9,8,7,3,5,1
352,2,0,0,4,6,0,1,0,5,1,0,9,9,10,3,4,1
353,10,2,0,4,7,0,0,3,6,0,2,8,10,8,6,7,0
354,6,0,0,4,5,0,0,1,2,1,0,7,5,10,5,3,2
355,10,2,0,4,5,0,0,2,5,0,2,10,9,3,6,7,0
356,7,1,0,4,5,0,2,0,6,1,0,5,1,9,1,6,2
357,4,0,0,4,6,1,0,3,4,0,0,1,6,9,3,5,1
358,2,0,0,4,9,0,1,1,2,1,0,4,5,7,1,3,1
359,7,1,0,4,2,1,2,2,4,0,0,7,1,7,5,8,2
360,0,0,0,4,10,0,0,0,2,1,0,8,5,5,1,4,2
361,6,0,0,4,10,1,1,3,1,0,0,9,10,5,5,4,1
362,9,2,0,4,3,0,2,1,6,1,0,7,4,8,8,5,0
363,4,0,0,4,2,1,0,2,2,0,0,3,7,4,2,1,1
364,10,2,1,4,2,0,0,0,8,1,2,8,2,2,5,10,0
365,7,1,0,4,6,1,2,3,4,0,0,5,1,6,2,6,2
366,8,1,1,4,3,0,0,1,7,1,1,7,4,1,7,3,2
367,8,1,0,4,2,1,1,2,7,0,2,1,9,5,7,6,0
368,10,2,1,4,1,0,0,0,9,1,2,2,7,8,3,7,0
369,2,0,0,4,8,1,0,3,1,0,0,2,8,4,9,3,1
370,3,0,0,4,7,0,1,1,2,1,0,4,5,1,1,6,2
371,7,1,0,4,9,1,2,2,2,0,0,5,3,3,9,4,2
372,7,1,1,4,4,0,0,0,5,1,1,3,3,2,6,1,2
373,4,0,0,4,7,1,1,3,4,0,0,8,9,4,4,5,1
374,9,2,0,4,2,0,2,1,2,1,0,7,2,9,10,8,0
375,1,0,0,4,5,1,0,2,6,0,0,3,1,5,9,3,2
376,6,0,0,4,9,0,1,0,2,1,0,2,8,9,3,2,1
377,7,1,0,4,5,1,2,3,5,0,0,4,9,2,9,8,0
378,1,0,0,4,7,0,0,1,1,1,0,4,9,10,8,6,1
