,Cust_Id,NPS_Score,NPS_Category,Timely_delivery,No_of_calls_in_an_Order,Loyalty_Years,C_Marital_Status,Tier_City,Mode_of_Payment,No_of_Items_in_Order,Gender,Order_Mode,Score_on_Food_Quality,Score_on_Order_Logistics,Menu_Presentation_Score,Score_on_Recommendations,Score_on_Delivery_Person_Friendliness,label
29,30,6,Detractor,N,4,1,Not Married,Tier3,e-Wallet,6,F,call,8,4,7,1,4,2
30,31,4,Detractor,Y,4,2,Married,Tier1,Cash,2,M,e-comm,10,8,4,2,5,0
31,32,7,Passives,N,4,6,Not Married,Tier2,Ziggy Credit,4,F,m-comm,9,7,7,8,10,1
32,33,3,Detractor,N,4,4,Married,Tier3,Card,3,M,call,7,2,4,2,4,2
33,34,7,Passives,N,4,4,Not Married,Tier1,e-Wallet,3,F,e-comm,10,6,7,10,10,1
34,35,8,Passives,Y,4,1,Married,Tier2,Cash,4,M,m-comm,10,9,9,4,2,0
35,36,4,Detractor,N,4,10,Not Married,Tier3,Ziggy Credit,4,F,call,4,6,2,3,1,0
36,37,3,Detractor,Y,4,3,Married,Tier1,Card,5,M,e-comm,10,3,8,1,3,2
37,38,6,Detractor,Y,4,9,Not Married,Tier2,e-Wallet,1,F,e-comm,9,5,3,7,4,2
38,39,7,Passives,N,4,1,Married,Tier3,Cash,5,M,call,5,9,5,7,8,1
39,40,5,Detractor,Y,4,8,Not Married,Tier1,Ziggy Credit,3,F,call,10,8,10,5,4,0
40,41,7,Passives,Y,4,7,Married,Tier2,Card,4,M,m-comm,10,6,3,4,5,1
41,42,10,Promoter,N,4,7,Married,Tier1,e-Wallet,5,F,m-comm,9,3,3,1,10,1
42,43,8,Passives,Y,4,1,Married,Tier1,Cash,3,M,e-comm,9,3,1,7,6,2
43,44,0,Detractor,Y,4,8,Not Married,Tier2,Ziggy Credit,2,F,call,10,2,6,10,4,2
44,45,7,Passives,N,4,9,Married,Tier3,Card,4,M,call,6,9,6,3,1,0
45,46,6,Detractor,Y,4,5,Not Married,Tier1,e-Wallet,1,F,call,10,3,8,3,3,2
46,47,7,Passives,Y,4,3,Married,Tier2,Cash,7,M,m-comm,9,5,1,8,3,2
47,48,7,Passives,N,4,8,Not Married,Tier3,Ziggy Credit,5,F,call,7,9,4,2,1,0
48,49,1,Detractor,N,4,8,Married,Tier1,Card,1,M,call,10,7,9,3,2,0
49,50,8,Passives,N,4,3,Not Married,Tier2,e-Wallet,4,F,m-comm,9,10,4,5,7,1
50,51,7,Passives,N,4,3,Married,Tier3,Cash,1,M,call,4,1,2,8,7,2
51,52,0,Detractor,N,4,6,Not Married,Tier1,Ziggy Credit,4,F,call,9,6,4,8,5,2
52,53,1,Detractor,N,4,5,Married,Tier2,Card,1,M,call,9,1,3,4,4,2
53,54,1,Detractor,Y,4,5,Not Married,Tier3,e-Wallet,6,F,call,6,9,1,7,9,0
54,55,6,Detractor,N,4,2,Married,Tier1,Cash,6,M,call,9,1,1,5,5,2
55,56,10,Promoter,N,4,6,Not Married,Tier1,Ziggy Credit,9,F,m-comm,10,8,2,5,9,1
56,57,1,Detractor,N,4,8,Married,Tier3,Card,4,M,call,8,7,7,6,7,0
57,58,5,Detractor,Y,4,3,Not Married,Tier1,e-Wallet,1,F,m-comm,10,9,9,7,6,0
58,59,10,Promoter,Y,4,3,Married,Tier2,Cash,8,M,e-comm,9,4,6,1,10,1
59,60,7,Passives,Y,4,10,Not Married,Tier3,Ziggy Credit,6,F,call,8,6,6,8,1,0
60,61,1,Detractor,Y,4,8,Married,Tier1,Card,1,M,m-comm,9,4,3,10,2,2
61,62,8,Passives,N,4,4,Not Married,Tier2,e-Wallet,3,F,m-comm,10,2,2,4,1,2
62,63,7,Passives,N,4,2,Married,Tier3,Cash,7,M,call,5,8,2,3,2,0
63,64,5,Detractor,Y,4,2,Not Married,Tier1,Ziggy Credit,5,F,m-comm,10,4,6,3,2,2
64,65,5,Detractor,Y,4,4,Married,Tier2,Card,1,M,m-comm,9,3,1,9,5,2
65,66,7,Passives,N,4,8,Not Married,Tier3,e-Wallet,1,F,call,7,7,7,2,1,0
66,67,0,Detractor,Y,4,2,Married,Tier1,Cash,1,M,m-comm,9,3,8,10,4,2
67,68,4,Detractor,Y,4,3,Not Married,Tier2,Ziggy Credit,3,F,m-comm,9,4,6,6,1,2
68,69,10,Promoter,Y,4,2,Married,Tier1,Card,10,M,m-comm,10,10,3,6,10,1
69,70,9,Promoter,N,4,7,Married,Tier1,e-Wallet,7,F,m-comm,10,1,5,5,7,1
70,71,9,Promoter,Y,4,7,Married,Tier1,Cash,5,M,m-comm,10,8,1,7,7,1
71,72,1,Detractor,N,4,10,Not Married,Tier3,Ziggy Credit,7,F,call,6,1,7,9,4,2
72,73,1,Detractor,Y,4,1,Married,Tier2,Card,6,M,m-comm,10,6,2,5,7,2
73,74,6,Detractor,Y,4,5,Not Married,Tier2,e-Wallet,1,F,m-comm,9,6,3,4,1,0
74,75,10,Promoter,Y,4,4,Married,Tier1,Cash,9,M,m-comm,10,6,6,2,8,1
75,76,2,Detractor,Y,4,4,Not Married,Tier1,Ziggy Credit,4,F,m-comm,9,5,1,6,5,2
76,77,0,Detractor,Y,4,9,Married,Tier2,Card,7,M,m-comm,9,6,4,7,1,0
77,78,8,Passives,Y,4,2,Not Married,Tier3,e-Wallet,1,F,call,5,6,6,5,6,0
78,79,4,Detractor,Y,4,5,Married,Tier1,Cash,2,M,m-comm,10,9,9,4,4,0
79,80,5,Detractor,Y,4,8,Not Married,Tier2,Ziggy Credit,7,F,m-comm,9,2,6,3,1,2
80,81,8,Passives,Y,4,7,Married,Tier3,Card,6,M,call,4,3,9,1,8,1
81,82,3,Detractor,Y,4,9,Not Married,Tier1,e-Wallet,7,F,m-comm,9,8,3,6,6,0
82,83,2,Detractor,Y,4,5,Married,Tier2,Cash,1,M,m-comm,10,4,5,2,3,2
83,84,7,Passives,N,4,4,Not Married,Tier3,Ziggy Credit,2,F,call,5,8,5,1,1,0
84,85,2,Detractor,Y,4,9,Married,Tier1,Card,3,M,m-comm,9,4,8,2,1,2
85,86,1,Detractor,Y,4,3,Not Married,Tier2,e-Wallet,6,F,m-comm,10,8,10,10,1,0
86,87,9,Promoter,N,4,8,Married,Tier3,Cash,2,M,call,7,7,4,10,7,1
87,88,1,Detractor,N,4,6,Married,Tier1,Ziggy Credit,10,F,e-comm,9,9,2,8,10,1
88,89,7,Passives,Y,4,6,Married,Tier2,Card,5,M,m-comm,9,2,9,3,5,2
89,90,7,Passives,N,4,10,Not Married,Tier3,e-Wallet,3,F,call,6,5,2,4,2,0
90,91,6,Detractor,Y,4,3,Married,Tier1,Cash,3,M,m-comm,9,1,3,3,6,2
91,92,5,Detractor,Y,4,3,Not Married,Tier2,Ziggy Credit,7,F,m-comm,10,1,9,3,3,2
92,93,7,Passives,N,4,5,Married,Tier3,Card,4,M,call,4,1,4,8,1,2
93,94,3,Detractor,Y,4,9,Not Married,Tier1,e-Wallet,1,F,m-comm,10,6,4,6,1,0
94,95,1,Detractor,Y,4,4,Married,Tier2,Cash,7,M,m-comm,9,7,6,2,6,0
95,96,7,Passives,Y,4,4,Not Married,Tier3,Ziggy Credit,1,F,call,7,1,6,2,6,2
96,97,10,Promoter,Y,4,3,Married,Tier2,Card,10,M,m-comm,9,10,2,2,9,1
97,98,2,Detractor,Y,4,8,Not Married,Tier2,e-Wallet,1,F,m-comm,10,8,6,10,6,0
98,99,7,Passives,N,4,5,Married,Tier3,Cash,2,M,call,4,6,4,4,1,0
99,100,9,Promoter,N,4,5,Married,Tier1,Ziggy Credit,6,F,m-comm,10,4,6,10,10,1
100,101,5,Detractor,Y,4,2,Married,Tier2,Card,3,M,m-comm,10,6,3,5,5,2
101,102,1,Detractor,N,4,6,Not Married,Tier3,e-Wallet,2,F,call,4,10,5,4,4,0
102,103,4,Detractor,Y,4,4,Married,Tier1,Cash,3,M,m-comm,10,7,6,3,1,0
103,104,1,Detractor,Y,4,7,Not Married,Tier2,Ziggy Credit,5,F,m-comm,9,9,5,8,3,0
104,105,7,Passives,N,4,8,Married,Tier3,Card,1,M,call,8,5,3,10,3,2
105,106,9,Promoter,N,4,5,Married,Tier1,e-Wallet,10,F,m-comm,9,1,9,5,7,1
106,107,6,Detractor,Y,4,1,Married,Tier2,Cash,1,M,m-comm,10,3,10,4,3,2
107,108,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,7,F,m-comm,10,8,10,9,9,1
108,109,8,Passives,Y,4,8,Married,Tier1,Card,1,M,e-comm,10,9,4,3,3,0
109,110,6,Detractor,Y,4,8,Not Married,Tier2,e-Wallet,7,F,m-comm,9,3,7,1,2,2
110,111,10,Promoter,Y,4,7,Married,Tier1,Cash,6,M,e-comm,10,4,5,7,9,1
111,112,9,Promoter,N,4,7,Married,Tier1,Ziggy Credit,6,F,m-comm,10,4,1,10,10,1
112,113,0,Detractor,Y,4,10,Married,Tier2,Card,2,M,m-comm,9,4,10,10,6,2
113,114,7,Passives,N,4,2,Not Married,Tier3,e-Wallet,4,F,call,5,8,8,1,7,1
114,115,4,Detractor,Y,4,8,Married,Tier1,Cash,4,M,m-comm,10,2,7,7,5,2
115,116,2,Detractor,Y,4,9,Not Married,Tier2,Ziggy Credit,3,F,m-comm,9,1,4,8,1,2
116,117,7,Passives,N,4,2,Married,Tier3,Card,4,M,call,7,8,3,3,10,1
117,118,10,Promoter,N,4,7,Married,Tier1,e-Wallet,7,F,m-comm,10,8,8,2,9,1
118,119,9,Promoter,Y,4,5,Married,Tier1,Cash,8,M,m-comm,10,7,10,3,10,1
119,120,7,Passives,Y,4,6,Not Married,Tier3,Ziggy Credit,2,F,call,7,9,5,5,1,0
120,121,8,Passives,Y,4,7,Married,Tier1,Card,5,M,e-comm,10,8,6,5,9,1
121,122,10,Promoter,N,4,6,Married,Tier1,e-Wallet,5,F,m-comm,9,9,7,7,9,1
122,123,10,Promoter,Y,4,9,Married,Tier1,Cash,6,M,m-comm,9,2,8,10,10,1
123,124,4,Detractor,Y,4,8,Not Married,Tier1,Ziggy Credit,6,F,m-comm,10,6,10,3,2,0
124,125,0,Detractor,Y,4,7,Married,Tier2,Card,6,M,m-comm,9,1,1,3,6,2
125,126,1,Detractor,N,4,1,Not Married,Tier3,e-Wallet,7,F,call,4,8,9,2,3,0
126,127,0,Detractor,Y,4,9,Married,Tier1,Cash,3,M,m-comm,10,6,6,8,5,2
127,128,9,Promoter,N,4,7,Not Married,Tier1,Ziggy Credit,6,F,e-comm,9,7,3,6,9,1
128,129,10,Promoter,Y,4,6,Married,Tier1,Card,7,M,m-comm,9,8,5,2,7,1
129,130,10,Promoter,N,4,6,Married,Tier1,e-Wallet,9,F,m-comm,9,7,6,7,9,1
130,131,0,Detractor,Y,4,7,Married,Tier2,Cash,5,M,m-comm,9,2,10,7,6,2
131,132,7,Passives,N,4,8,Not Married,Tier3,Ziggy Credit,4,F,call,4,8,5,1,9,1
132,133,1,Detractor,Y,4,4,Married,Tier1,Card,3,M,m-comm,9,4,1,9,4,2
133,134,5,Detractor,Y,4,10,Not Married,Tier2,e-Wallet,6,F,m-comm,10,9,3,9,2,0
134,135,8,Passives,Y,4,4,Married,Tier3,Cash,2,M,call,5,8,5,3,1,0
135,136,7,Passives,N,4,10,Not Married,Tier1,Ziggy Credit,6,F,e-comm,9,3,1,10,10,1
136,137,2,Detractor,Y,4,4,Married,Tier2,Card,7,M,m-comm,9,7,3,6,2,0
137,138,9,Promoter,N,4,7,Married,Tier1,e-Wallet,9,F,m-comm,10,10,8,5,10,1
138,139,9,Promoter,Y,4,4,Married,Tier1,Cash,10,M,m-comm,10,9,9,10,10,1
139,140,6,Detractor,Y,4,1,Not Married,Tier2,Ziggy Credit,2,F,m-comm,9,3,1,8,2,2
140,141,10,Promoter,Y,4,1,Married,Tier1,Card,8,M,e-comm,10,6,5,5,7,1
141,142,7,Passives,N,4,7,Not Married,Tier1,e-Wallet,2,F,e-comm,9,9,2,10,3,0
142,143,4,Detractor,Y,4,10,Married,Tier2,Cash,4,M,m-comm,9,3,8,5,2,2
143,144,7,Passives,N,4,5,Not Married,Tier3,Ziggy Credit,7,F,call,8,9,4,1,9,1
144,145,0,Detractor,Y,4,2,Married,Tier1,Card,1,M,m-comm,9,5,9,5,5,2
145,146,3,Detractor,Y,4,4,Not Married,Tier2,e-Wallet,2,F,m-comm,9,10,4,3,6,0
146,147,10,Promoter,Y,4,7,Married,Tier1,Cash,6,M,m-comm,10,2,2,6,10,1
147,148,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,5,F,m-comm,9,9,9,1,8,1
148,149,2,Detractor,Y,4,3,Married,Tier2,Card,1,M,m-comm,10,5,7,10,3,2
149,150,7,Passives,N,4,6,Not Married,Tier3,e-Wallet,6,F,call,6,6,9,9,1,0
150,151,2,Detractor,Y,4,6,Married,Tier1,Cash,5,M,m-comm,9,4,4,2,6,2
151,152,1,Detractor,Y,4,4,Not Married,Tier2,Ziggy Credit,7,F,m-comm,10,3,10,1,4,2
152,153,10,Promoter,Y,4,8,Married,Tier1,Card,9,M,m-comm,9,6,2,5,7,1
153,154,5,Detractor,Y,4,10,Not Married,Tier1,e-Wallet,5,F,m-comm,9,7,5,10,5,0
154,155,6,Detractor,Y,4,2,Married,Tier2,Cash,5,M,m-comm,9,2,10,9,1,2
155,156,7,Passives,N,4,4,Not Married,Tier3,Ziggy Credit,1,F,call,5,2,7,3,4,2
156,157,10,Promoter,Y,4,8,Married,Tier1,Card,5,M,e-comm,9,10,6,7,10,1
157,158,3,Detractor,Y,4,2,Not Married,Tier2,e-Wallet,4,F,m-comm,9,5,8,3,1,2
158,159,7,Passives,Y,4,10,Married,Tier3,Cash,6,M,call,4,8,2,7,5,0
159,160,2,Detractor,Y,4,8,Not Married,Tier1,Ziggy Credit,1,F,m-comm,10,2,4,9,4,2
160,161,2,Detractor,Y,4,10,Married,Tier2,Card,7,M,m-comm,10,8,7,3,4,0
161,162,7,Passives,Y,4,8,Not Married,Tier3,e-Wallet,6,F,call,5,3,8,10,2,2
162,163,1,Detractor,Y,4,8,Married,Tier1,Cash,5,M,m-comm,10,9,6,8,5,0
163,164,6,Detractor,Y,4,3,Not Married,Tier2,Ziggy Credit,2,F,m-comm,9,1,6,5,2,2
164,165,7,Passives,N,4,10,Married,Tier3,Card,4,M,call,7,5,4,6,5,2
165,166,5,Detractor,Y,4,1,Not Married,Tier1,e-Wallet,5,F,m-comm,9,9,3,3,5,0
166,167,2,Detractor,Y,4,7,Married,Tier2,Cash,7,M,m-comm,10,1,7,2,6,2
167,168,7,Passives,N,4,5,Not Married,Tier3,Ziggy Credit,6,F,call,4,3,3,2,4,2
168,169,0,Detractor,Y,4,4,Married,Tier1,Card,5,M,m-comm,9,7,1,10,2,0
169,170,6,Detractor,Y,4,8,Not Married,Tier2,e-Wallet,7,F,m-comm,10,10,4,7,3,0
170,171,10,Promoter,Y,4,3,Married,Tier1,Cash,5,M,m-comm,10,5,8,7,7,1
171,172,7,Passives,N,4,2,Not Married,Tier1,Ziggy Credit,4,F,e-comm,10,2,6,7,10,1
172,173,0,Detractor,Y,4,1,Married,Tier2,Card,2,M,m-comm,10,4,1,2,4,2
173,174,7,Passives,N,4,1,Not Married,Tier3,e-Wallet,1,F,call,6,6,8,9,4,2
174,175,6,Detractor,Y,4,6,Married,Tier1,Cash,1,M,m-comm,10,3,8,10,2,2
175,176,5,Detractor,Y,4,2,Not Married,Tier2,Ziggy Credit,2,F,m-comm,9,3,2,4,6,2
176,177,7,Passives,N,4,10,Married,Tier3,Card,6,M,call,6,4,3,2,8,1
177,178,1,Detractor,Y,4,4,Not Married,Tier1,e-Wallet,1,F,m-comm,10,3,1,3,4,2
178,179,9,Promoter,Y,4,2,Married,Tier1,Cash,5,M,m-comm,10,9,8,2,8,1
179,180,7,Passives,N,4,2,Not Married,Tier3,Ziggy Credit,3,F,call,8,8,2,4,2,0
180,181,1,Detractor,Y,4,4,Married,Tier1,Card,3,M,m-comm,10,6,9,6,4,2
181,182,2,Detractor,Y,4,2,Not Married,Tier2,e-Wallet,1,F,m-comm,10,10,1,4,4,0
182,183,7,Passives,N,4,8,Married,Tier3,Cash,3,M,call,8,4,6,1,7,1
183,184,8,Passives,N,4,8,Not Married,Tier1,Ziggy Credit,1,F,e-comm,10,4,9,5,2,2
184,185,7,Passives,Y,4,5,Married,Tier2,Card,5,M,m-comm,10,9,6,2,7,1
185,186,7,Passives,N,4,7,Not Married,Tier3,e-Wallet,7,F,call,4,1,4,6,8,1
186,187,2,Detractor,Y,4,5,Married,Tier1,Cash,3,M,m-comm,10,2,7,8,1,2
187,188,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,9,F,m-comm,9,8,9,9,9,1
188,189,7,Passives,N,4,7,Married,Tier3,Card,3,M,call,4,6,2,8,1,0
189,190,1,Detractor,Y,4,3,Not Married,Tier1,e-Wallet,2,F,m-comm,10,8,9,3,5,0
190,191,2,Detractor,Y,4,1,Married,Tier2,Cash,5,M,m-comm,10,4,1,9,2,2
191,192,9,Promoter,N,4,7,Married,Tier1,Ziggy Credit,5,F,m-comm,10,10,9,3,10,1
192,193,1,Detractor,Y,4,5,Married,Tier1,Card,7,M,m-comm,10,5,7,3,3,2
193,194,7,Passives,N,4,6,Not Married,Tier2,e-Wallet,6,F,m-comm,10,10,9,2,3,0
194,195,9,Promoter,N,4,3,Married,Tier3,Cash,7,M,call,4,8,3,3,5,1
195,196,5,Detractor,Y,4,1,Not Married,Tier1,Ziggy Credit,4,F,m-comm,10,9,10,2,3,0
196,197,9,Promoter,Y,4,6,Married,Tier1,Card,10,M,call,10,9,5,7,9,1
197,198,8,Passives,Y,4,2,Not Married,Tier3,e-Wallet,2,F,call,7,9,6,3,9,1
198,199,4,Detractor,Y,4,8,Married,Tier1,Cash,1,M,m-comm,9,5,5,4,6,2
199,200,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,5,F,m-comm,10,2,9,2,8,1
200,201,7,Passives,N,4,6,Married,Tier3,Card,2,M,call,7,5,2,7,5,2
201,202,0,Detractor,Y,4,3,Not Married,Tier1,e-Wallet,6,F,m-comm,10,7,9,10,3,0
202,203,5,Detractor,Y,4,10,Married,Tier2,Cash,3,M,m-comm,9,9,1,7,1,0
203,204,8,Passives,Y,4,7,Not Married,Tier3,Ziggy Credit,6,F,call,8,5,7,1,8,1
204,205,5,Detractor,Y,4,1,Married,Tier1,Card,4,M,m-comm,9,5,3,1,2,2
205,206,4,Detractor,Y,4,9,Not Married,Tier2,e-Wallet,3,F,m-comm,10,1,1,7,3,2
206,207,7,Passives,N,4,6,Married,Tier3,Cash,4,M,call,4,5,8,10,6,2
207,208,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,7,F,m-comm,10,2,5,4,9,1
208,209,9,Promoter,Y,4,3,Married,Tier1,Card,8,M,m-comm,10,5,5,7,7,1
209,210,7,Passives,N,4,3,Not Married,Tier3,e-Wallet,3,F,call,7,8,10,3,3,0
210,211,3,Detractor,Y,4,1,Married,Tier1,Cash,1,M,m-comm,10,9,5,5,5,0
211,212,5,Detractor,Y,4,8,Not Married,Tier2,Ziggy Credit,1,F,m-comm,9,4,8,2,1,2
212,213,7,Passives,N,4,6,Married,Tier3,Card,1,M,call,5,9,4,3,7,0
213,214,9,Promoter,N,4,7,Married,Tier1,e-Wallet,10,F,m-comm,9,5,10,3,9,1
214,215,3,Detractor,Y,4,3,Married,Tier2,Cash,3,M,m-comm,9,4,10,1,2,2
215,216,7,Passives,N,4,1,Not Married,Tier3,Ziggy Credit,3,F,call,8,5,9,7,8,1
216,217,3,Detractor,Y,4,1,Married,Tier1,Card,6,M,m-comm,10,3,8,1,1,2
217,218,10,Promoter,Y,4,5,Married,Tier1,e-Wallet,9,F,call,9,1,7,10,7,1
218,219,8,Passives,Y,4,5,Married,Tier3,Cash,2,M,call,6,6,4,4,6,1
219,220,5,Detractor,Y,4,6,Not Married,Tier1,Ziggy Credit,6,F,m-comm,10,8,4,3,6,0
220,221,4,Detractor,Y,4,10,Married,Tier2,Card,4,M,m-comm,9,8,10,2,5,0
221,222,7,Passives,N,4,7,Not Married,Tier3,e-Wallet,1,F,call,6,1,3,10,3,2
222,223,1,Detractor,Y,4,8,Married,Tier1,Cash,1,M,m-comm,9,7,8,5,2,0
223,224,5,Detractor,Y,4,1,Not Married,Tier2,Ziggy Credit,5,F,m-comm,10,7,5,2,5,0
224,225,7,Passives,N,4,7,Married,Tier3,Card,1,M,call,4,6,4,2,2,0
225,226,4,Detractor,Y,4,7,Not Married,Tier1,e-Wallet,5,F,m-comm,9,2,6,4,4,2
226,227,1,Detractor,Y,4,4,Married,Tier2,Cash,1,M,m-comm,10,7,5,7,3,0
227,228,7,Passives,N,4,1,Not Married,Tier3,Ziggy Credit,4,F,call,5,7,3,3,9,1
228,229,7,Passives,Y,4,7,Married,Tier1,Card,4,M,e-comm,9,5,4,8,10,1
229,230,5,Detractor,Y,4,3,Not Married,Tier2,e-Wallet,1,F,m-comm,10,2,4,9,4,2
230,231,7,Passives,Y,4,2,Married,Tier3,Cash,1,M,call,6,7,8,2,4,0
231,232,2,Detractor,Y,4,2,Not Married,Tier1,Ziggy Credit,2,F,m-comm,10,1,6,5,5,2
232,233,8,Passives,Y,4,9,Married,Tier2,Card,7,M,m-comm,10,2,2,5,2,2
233,234,9,Promoter,N,4,6,Married,Tier1,e-Wallet,9,F,m-comm,9,10,5,8,7,1
234,235,10,Promoter,Y,4,4,Married,Tier3,Cash,6,M,m-comm,8,5,5,3,9,1
235,236,4,Detractor,Y,4,3,Not Married,Tier2,Ziggy Credit,4,F,m-comm,10,7,4,7,2,0
236,237,7,Passives,N,4,1,Married,Tier3,Card,4,M,call,5,2,2,10,2,2
237,238,1,Detractor,Y,4,1,Not Married,Tier1,e-Wallet,7,F,m-comm,9,5,9,4,5,2
238,239,9,Promoter,Y,4,7,Married,Tier1,Cash,10,M,m-comm,9,8,1,5,8,1
239,240,7,Passives,N,4,5,Not Married,Tier3,Ziggy Credit,7,F,call,4,4,2,6,9,1
240,241,10,Promoter,Y,4,9,Married,Tier1,Card,6,M,call,10,2,4,4,10,1
241,242,6,Detractor,Y,4,7,Not Married,Tier2,e-Wallet,1,F,m-comm,10,1,4,5,3,2
242,243,10,Promoter,Y,4,2,Married,Tier1,Cash,8,M,m-comm,10,3,6,2,9,1
243,244,1,Detractor,Y,4,9,Not Married,Tier1,Ziggy Credit,6,F,m-comm,10,7,10,3,5,0
244,245,7,Passives,Y,4,3,Married,Tier2,Card,1,M,m-comm,9,3,2,10,10,1
245,246,8,Passives,Y,4,8,Not Married,Tier3,e-Wallet,3,F,call,5,5,6,5,2,0
246,247,8,Passives,Y,4,2,Married,Tier1,Cash,6,M,e-comm,10,2,1,8,4,2
247,248,8,Passives,N,4,7,Not Married,Tier2,Ziggy Credit,7,F,m-comm,10,2,9,3,10,1
248,249,7,Passives,N,4,4,Married,Tier3,Card,2,M,call,5,7,5,4,6,0
249,250,8,Passives,N,4,9,Not Married,Tier1,e-Wallet,3,F,e-comm,10,9,9,5,8,1
250,251,3,Detractor,Y,4,3,Married,Tier2,Cash,3,M,m-comm,10,2,5,5,2,2
251,252,7,Passives,N,4,5,Not Married,Tier3,Ziggy Credit,2,F,call,6,9,4,6,5,0
252,253,10,Promoter,Y,4,3,Married,Tier1,Card,5,M,m-comm,9,9,2,10,8,1
253,254,4,Detractor,Y,4,10,Not Married,Tier2,e-Wallet,5,F,m-comm,9,6,2,10,4,0
254,255,9,Promoter,Y,4,9,Married,Tier1,Cash,10,M,m-comm,9,3,6,10,9,1
255,256,7,Passives,N,4,3,Not Married,Tier1,Ziggy Credit,7,F,e-comm,9,7,4,1,6,1
256,257,8,Passives,Y,4,4,Married,Tier2,Card,4,M,m-comm,9,10,1,4,6,0
257,258,7,Passives,N,4,8,Not Married,Tier3,e-Wallet,6,F,call,7,7,1,10,3,0
258,259,3,Detractor,Y,4,3,Married,Tier1,Cash,7,M,call,10,4,8,2,3,2
259,260,4,Detractor,Y,4,7,Not Married,Tier2,Ziggy Credit,3,F,call,10,8,5,8,6,0
260,261,7,Passives,N,4,6,Married,Tier3,Card,7,M,call,8,4,6,2,7,1
261,262,6,Detractor,Y,4,9,Not Married,Tier1,e-Wallet,3,F,call,10,9,5,6,4,0
262,263,2,Detractor,Y,4,5,Married,Tier2,Cash,4,M,call,9,6,9,5,1,0
